Year,Units,Value
2010,thousand hectares,55.0
2011,thousand hectares,67.9
2012,thousand hectares,81.0
2013,thousand hectares,92.8
2014,thousand hectares,109.8
2015,thousand hectares,136.5
2016,thousand hectares,170.3
2017,thousand hectares,183.4
