Year,Units,Value
2011,Percent,15.03
2012,Percent,13.74
2013,Percent,13.89
2014,Percent,10.18
2015,Percent,10.75
2016,Percent,8.33
2017,Percent,15.56
2018,Percent,12.87
2014,million USD,23725.5328442732
2015,million USD,15169.501879678994
2016,million USD,21046.413407961463
2017,million USD,20899.48552877959
