Year,Units,Value
2010,thousand ha,5640.9
2011,thousand ha,5646.8
2012,thousand ha,5663.6
2013,thousand ha,5669.2
2014,thousand ha,5674.5
2015,thousand ha,5675.0
2016,thousand ha,5675.2
2017,thousand ha,5699.2
2018,thousand ha,5940.0
