Year,Value,Units
2010,149.9,millions of US dollars
2011,189.5,millions of US dollars
2012,151.7,millions of US dollars
2013,135.0,millions of US dollars
2014,267.1,millions of US dollars
2015,286.9,millions of US dollars
2016,306.6,millions of US dollars
2017,169.8,millions of US dollars
