Year,Value,Units,GeoCode
2010,5.724655114193832,Percent,
2011,5.1160227566437175,Percent,
2012,5.895514825699013,Percent,
2013,5.755110647925178,Percent,
2014,6.96335857005814,Percent,
2015,7.873647499522124,Percent,
2016,7.199852173571244,Percent,
2017,6.360494998547763,Percent,
2018,6.0,Percent,
