Year,Units,Value
2010,as a percentage of the previous year,103.7
2011,as a percentage of the previous year,105.0
2012,as a percentage of the previous year,102.5
2013,as a percentage of the previous year,105.1
2014,as a percentage of the previous year,104.6
2015,as a percentage of the previous year,100.6
2016,as a percentage of the previous year,100.2
2017,as a percentage of the previous year,104.4
2018,as a percentage of the previous year,103.4
