Year,Value,Units
2010,13.449512659178328,As as pecentage of GDP
2011,14.10023908200086,As as pecentage of GDP
2012,13.204390372567033,As as pecentage of GDP
2013,13.275371720225834,As as pecentage of GDP
2014,12.9,As as pecentage of GDP
2015,11.9,As as pecentage of GDP
2016,12.8,As as pecentage of GDP
2017,12.8,As as pecentage of GDP
2018,13.4,As as pecentage of GDP
