Year,Value,Units,GeoCode
2010,7.0,Percent,
2011,6.5,Percent,
2012,6.4,Percent,
2013,6.4,Percent,
2014,6.3,Percent,
2015,6.6,Percent,
2016,6.6,Percent,
2017,6.8,Percent,
2018,6.7,Percent,
