Year,Value,Units,GeoCode
2010,666,Number of individuals,
2011,694,Number of individuals,
2012,611,Number of individuals,
2013,737,Number of individuals,
2014,799,Number of individuals,
2015,778,Number of individuals,
2016,695,Number of individuals,
2017,668,Number of individuals,
2018,668,Number of individuals,
