Year,Value,Units,GeoCode
2012,1607.2,thousands,
2013,1976.0,thousands,
2014,2100.9,thousands,
2015,2305.6,thousands,
2016,2352.7,thousands,
2017,2576.0,thousands,
2018,2462.9,thousands,
