Year,Value,Units,GeoCode
2010,109.1,Percent,
2011,112.1,Percent,
2012,102.8,Percent,
2013,102.1,Percent,
2014,103.8,Percent,
2015,97.3,Percent,
2016,99.0,Percent,
2017,103.6,Percent,
2018,104.7,Percent,
