Year,Units,Value
2010,million m3,380.7
2011,million m3,380.7
2012,million m3,412.2
2013,million m3,412.2
2014,million m3,412.2
2015,million m3,412.2
2016,million m3,412.2
2017,million m3,421.8
2018,million m3,421.8
