From,To
Units,Өңірлер
Units,"Доля учителей в основной средней школе (5-9 кл.), имеющих педагогическое образование"
Units,"Доля педагогических  работников организаций  среднего образования, прошедших повышение квалификации по обновленному содержанию от их общего количества"
