Year,Units,Value
2010,Percent,16.58
2011,Percent,21.55
2012,Percent,23.06
2013,Percent,18.6
2014,Percent,21.01
2015,Percent,20.16
2016,Percent,14.8
2017,Percent,16.15
2018,Percent,21.6
