Year,Units,Regions,Value
2011,tenge per 1000 US dollars in 2010 prices,,0.4861384507214093
2012,tenge per 1000 US dollars in 2010 prices,,0.443292989072438
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Akmola,0.83
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Aktobe,2.63
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty,0.17
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Atyrau,1.92
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Batys Kazakhstan,3.28
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Zhambyl,1.0
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Karagandy,4.54
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Kostanay,0.04
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Kyzylorda,6.55
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Mangistau,2.65
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Turkistan,0.12
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Pavlodar,7.39
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Soltustik Kazakhstan,0.29
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Shygys Kazakhstan,0.96
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Nur-Sultan city,0.06
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty city,0.23
2013,tenge per 1000 US dollars in 2010 prices,,0.4610388251259937
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Akmola,0.51
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Aktobe,2.31
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty,0.2
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Atyrau,1.92
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Batys Kazakhstan,3.31
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Zhambyl,0.31
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Karagandy,3.77
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Kostanay,0.03
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Kyzylorda,5.69
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Mangistau,2.79
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Turkistan,0.11
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Pavlodar,6.58
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Soltustik Kazakhstan,0.37
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Shygys Kazakhstan,0.88
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Nur-Sultan city,0.04
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty city,0.14
2014,tenge per 1000 US dollars in 2010 prices,,0.4162673684542015
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Akmola,0.67
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Aktobe,3.55
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty,0.21
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Atyrau,1.53
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Batys Kazakhstan,5.15
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Zhambyl,1.0
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Karagandy,3.54
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Kostanay,0.01
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Kyzylorda,5.08
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Mangistau,4.07
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Turkistan,0.47
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Pavlodar,6.49
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Soltustik Kazakhstan,0.54
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Shygys Kazakhstan,0.82
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Nur-Sultan city,0.2
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty city,0.12
2015,tenge per 1000 US dollars in 2010 prices,,0.4189583579222953
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Akmola,0.62
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Aktobe,3.36
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty,0.2
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Atyrau,1.43
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Batys Kazakhstan,4.72
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Zhambyl,0.24
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Karagandy,3.06
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Kostanay,0.01
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Kyzylorda,5.0
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Mangistau,3.96
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Turkistan,0.49
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Pavlodar,5.94
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Soltustik Kazakhstan,0.5
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Shygys Kazakhstan,0.68
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Nur-Sultan city,0.19
2015,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty city,0.13
2016,tenge per 1000 US dollars in 2010 prices,,0.42022469286986935
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Akmola,0.39
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Aktobe,3.43
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty,0.13
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Atyrau,1.42
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Batys Kazakhstan,5.46
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Zhambyl,0.37
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Karagandy,2.7
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Kostanay,0.05
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Kyzylorda,5.4
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Mangistau,4.14
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Turkistan,0.71
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Pavlodar,6.22
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Soltustik Kazakhstan,0.42
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Shygys Kazakhstan,0.8
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Nur-Sultan city,0.1
2016,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty city,0.12
2017,tenge per 1000 US dollars in 2010 prices,,0.42022469286986935
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Akmola,0.45
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Aktobe,3.41
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty,0.14
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Atyrau,1.46
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Batys Kazakhstan,5.68
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Zhambyl,0.24
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Karagandy,2.69
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Kostanay,0.02
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Kyzylorda,5.96
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Mangistau,4.15
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Turkistan,0.7
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Pavlodar,6.31
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Soltustik Kazakhstan,0.22
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Shygys Kazakhstan,0.84
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Nur-Sultan city,0.09
2017,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty city,0.11
2018,tenge per 1000 US dollars in 2010 prices,,0.42
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Akmola,0.43
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Aktobe,3.69
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Almaty,0.15
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Atyrau,1.4
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Batys Kazakhstan,5.54
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Zhambyl,0.22
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Karagandy,2.84
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Kostanay,0.01
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Kyzylorda,5.96
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Mangistau,4.61
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Turkistan,0.68
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Pavlodar,6.1
2018,"тнэ на тыс.долл. США, в ценах 2000 года",Soltustik Kazakhstan,0.3
