Year,Units,Official development assistance,Value
2014,millions of US dollars,,0.02
2015,millions of US dollars,,0.02
2016,millions of US dollars,,0.03
2017,millions of US dollars,,0.02
2015,millions of US dollars,Kazakhstan as donor,42.772842
2016,millions of US dollars,Kazakhstan as donor,30.83
2017,millions of US dollars,Kazakhstan as donor,34.64443
