Year,Units,Protected species,Value
2010,units,Type of plants,387.0
2011,units,Type of plants,387.0
2012,units,Type of plants,387.0
2013,units,Type of plants,387.0
2014,units,Type of plants,387.0
2015,units,Type of plants,387.0
2016,units,Type of plants,387.0
2017,units,Type of plants,387.0
2018,units,Type of plants,387.0
2010,units,Type of animals,224.0
2011,units,Type of animals,224.0
2012,units,Type of animals,224.0
2013,units,Type of animals,224.0
2014,units,Type of animals,224.0
2015,units,Type of animals,224.0
2016,units,Type of animals,224.0
2017,units,Type of animals,224.0
2018,units,Type of animals,224.0
