Year,Units,Value
2010,tons / year,55.77
2011,tons / year,25.41
2012,tons / year,21.2
2013,tons / year,10.6
2014,tons / year,8.58
2015,tons / year,14.34
2016,tons / year,8.51
2017,tons / year,7.0
