Year,Units,Regions,Value
2016,человек на 1 000 000 жителей,Almaty,261.0
2016,человек на 1 000 000 жителей,Atyrau,442.0
2016,человек на 1 000 000 жителей,Batys Kazakhstan,614.0
2016,человек на 1 000 000 жителей,Zhambyl,180.0
2016,человек на 1 000 000 жителей,Karagandy,386.0
2016,человек на 1 000 000 жителей,Kostanay,205.0
2016,человек на 1 000 000 жителей,Kyzylorda,118.0
2016,человек на 1 000 000 жителей,Mangistau,892.0
2016,человек на 1 000 000 жителей,Ontustik Kazakhstan,185.0
2016,человек на 1 000 000 жителей,Pavlodar,421.0
2016,человек на 1 000 000 жителей,Soltustik Kazakhstan,116.0
2016,человек на 1 000 000 жителей,Shygys Kazakhstan,604.0
2016,человек на 1 000 000 жителей,Nur-Sultan city,2191.0
2016,человек на 1 000 000 жителей,Almaty city,3275.0
2017,человек на 1 000 000 жителей,,668.0
2017,человек на 1 000 000 жителей,Akmola,562.0
2017,человек на 1 000 000 жителей,Aktobe,201.0
2017,человек на 1 000 000 жителей,Almaty,220.0
2017,человек на 1 000 000 жителей,Atyrau,504.0
2017,человек на 1 000 000 жителей,Batys Kazakhstan,324.0
2017,человек на 1 000 000 жителей,Zhambyl,181.0
2017,человек на 1 000 000 жителей,Karagandy,490.0
2017,человек на 1 000 000 жителей,Kostanay,197.0
2017,человек на 1 000 000 жителей,Kyzylorda,114.0
2017,человек на 1 000 000 жителей,Mangistau,880.0
2017,человек на 1 000 000 жителей,Ontustik Kazakhstan,178.0
2017,человек на 1 000 000 жителей,Pavlodar,337.0
2017,человек на 1 000 000 жителей,Soltustik Kazakhstan,76.0
2017,человек на 1 000 000 жителей,Shygys Kazakhstan,604.0
2017,человек на 1 000 000 жителей,Nur-Sultan city,2007.0
2017,человек на 1 000 000 жителей,Almaty city,3099.0
2018,человек на 1 000 000 жителей,,668.0
2018,человек на 1 000 000 жителей,Akmola,507.0
2018,человек на 1 000 000 жителей,Aktobe,191.0
2018,человек на 1 000 000 жителей,Almaty,254.0
2018,человек на 1 000 000 жителей,Atyrau,605.0
2018,человек на 1 000 000 жителей,Batys Kazakhstan,429.0
2018,человек на 1 000 000 жителей,Zhambyl,191.0
2018,человек на 1 000 000 жителей,Karagandy,475.0
2018,человек на 1 000 000 жителей,Kostanay,214.0
2018,человек на 1 000 000 жителей,Kyzylorda,101.0
2018,человек на 1 000 000 жителей,Mangistau,854.0
2018,человек на 1 000 000 жителей,Pavlodar,330.0
2018,человек на 1 000 000 жителей,Soltustik Kazakhstan,70.0
2018,человек на 1 000 000 жителей,Turkistan,42.0
2018,человек на 1 000 000 жителей,Shygys Kazakhstan,642.0
2018,человек на 1 000 000 жителей,Nur-Sultan city,1777.0
2018,человек на 1 000 000 жителей,Almaty city,3235.0
2018,человек на 1 000 000 жителей,Shymkent city,229.0
2019,человек на 1 000 000 жителей,,638.0
2019,человек на 1 000 000 жителей,Akmola,537.0
2019,человек на 1 000 000 жителей,Aktobe,222.0
2019,человек на 1 000 000 жителей,Almaty,229.0
2019,человек на 1 000 000 жителей,Atyrau,594.0
2019,человек на 1 000 000 жителей,Batys Kazakhstan,388.0
2019,человек на 1 000 000 жителей,Zhambyl,220.0
2019,человек на 1 000 000 жителей,Karagandy,487.0
2019,человек на 1 000 000 жителей,Kostanay,205.0
2019,человек на 1 000 000 жителей,Kyzylorda,76.0
2019,человек на 1 000 000 жителей,Mangistau,857.0
2019,человек на 1 000 000 жителей,Pavlodar,458.0
2019,человек на 1 000 000 жителей,Soltustik Kazakhstan,71.0
2019,человек на 1 000 000 жителей,Turkistan,38.0
2019,человек на 1 000 000 жителей,Shygys Kazakhstan,581.0
2019,человек на 1 000 000 жителей,Nur-Sultan city,1688.0
2019,человек на 1 000 000 жителей,Almaty city,2843.0
2019,человек на 1 000 000 жителей,Shymkent city,236.0
