Year,Units,Value
2010,Percent,74.1
2011,Percent,76.1
2012,Percent,75.9
2013,Percent,77.5
2014,Percent,76.8
2015,Percent,72.6
2016,Percent,74.1
2017,Percent,72.6
2018,Percent,71.5
