Year,Units,Regions,Value
2010,на 100 000 родившихся живыми,,22.7
2010,на 100 000 родившихся живыми,Aktobe,34.5
2010,на 100 000 родившихся живыми,Almaty,16.1
2010,на 100 000 родившихся живыми,Atyrau,20.4
2010,на 100 000 родившихся живыми,Batys Kazakhstan,8.3
2010,на 100 000 родившихся живыми,Zhambyl,29.4
2010,на 100 000 родившихся живыми,Karagandy,4.2
2010,на 100 000 родившихся живыми,Kostanay,15.4
2010,на 100 000 родившихся живыми,Kyzylorda,35.0
2010,на 100 000 родившихся живыми,Mangistau,6.5
2010,на 100 000 родившихся живыми,Ontustik Kazakhstan,26.7
2010,на 100 000 родившихся живыми,Pavlodar,16.3
2010,на 100 000 родившихся живыми,Soltustik Kazakhstan,24.0
2010,на 100 000 родившихся живыми,Shygys Kazakhstan,21.5
2010,на 100 000 родившихся живыми,Nur-Sultan city,27.6
2010,на 100 000 родившихся живыми,Almaty city,6.0
2011,на 100 000 родившихся живыми,,17.4
2011,на 100 000 родившихся живыми,Akmola,23.3
2011,на 100 000 родившихся живыми,Aktobe,16.9
2011,на 100 000 родившихся живыми,Almaty,18.9
2011,на 100 000 родившихся живыми,Atyrau,6.6
2011,на 100 000 родившихся живыми,Zhambyl,22.5
2011,на 100 000 родившихся живыми,Karagandy,8.2
2011,на 100 000 родившихся живыми,Kostanay,15.7
2011,на 100 000 родившихся живыми,Kyzylorda,10.4
2011,на 100 000 родившихся живыми,Mangistau,24.7
2011,на 100 000 родившихся живыми,Ontustik Kazakhstan,16.8
2011,на 100 000 родившихся живыми,Pavlodar,7.8
2011,на 100 000 родившихся живыми,Shygys Kazakhstan,22.4
2011,на 100 000 родившихся живыми,Nur-Sultan city,10.4
2011,на 100 000 родившихся живыми,Almaty city,15.5
2012,на 100 000 родившихся живыми,,13.5
2012,на 100 000 родившихся живыми,Akmola,8.2
2012,на 100 000 родившихся живыми,Almaty,7.9
2012,на 100 000 родившихся живыми,Atyrau,6.4
2012,на 100 000 родившихся живыми,Zhambyl,18.7
2012,на 100 000 родившихся живыми,Karagandy,16.2
2012,на 100 000 родившихся живыми,Kyzylorda,15.0
2012,на 100 000 родившихся живыми,Mangistau,5.9
2012,на 100 000 родившихся живыми,Ontustik Kazakhstan,20.6
2012,на 100 000 родившихся живыми,Pavlodar,15.5
2012,на 100 000 родившихся живыми,Soltustik Kazakhstan,12.2
2012,на 100 000 родившихся живыми,Shygys Kazakhstan,13.2
2012,на 100 000 родившихся живыми,Almaty city,13.0
2013,на 100 000 родившихся живыми,,13.1
2013,на 100 000 родившихся живыми,Akmola,25.4
2013,на 100 000 родившихся живыми,Aktobe,21.3
2013,на 100 000 родившихся живыми,Almaty,5.1
2013,на 100 000 родившихся живыми,Atyrau,25.3
2013,на 100 000 родившихся живыми,Batys Kazakhstan,7.9
2013,на 100 000 родившихся живыми,Zhambyl,14.8
2013,на 100 000 родившихся живыми,Karagandy,4.1
2013,на 100 000 родившихся живыми,Kostanay,15.3
2013,на 100 000 родившихся живыми,Kyzylorda,10.6
2013,на 100 000 родившихся живыми,Mangistau,11.0
2013,на 100 000 родившихся живыми,Ontustik Kazakhstan,10.2
2013,на 100 000 родившихся живыми,Pavlodar,15.4
2013,на 100 000 родившихся живыми,Soltustik Kazakhstan,12.5
2013,на 100 000 родившихся живыми,Shygys Kazakhstan,8.9
2013,на 100 000 родившихся живыми,Nur-Sultan city,17.7
2013,на 100 000 родившихся живыми,Almaty city,10.2
2014,на 100 000 родившихся живыми,,15.209315082155198
2014,на 100 000 родившихся живыми,Akmola,16.939103921402562
2014,на 100 000 родившихся живыми,Aktobe,10.105603557172454
2014,на 100 000 родившихся живыми,Almaty,14.492753623188404
2014,на 100 000 родившихся живыми,Atyrau,12.295585884667403
2014,на 100 000 родившихся живыми,Batys Kazakhstan,23.09646624066518
2014,на 100 000 родившихся живыми,Zhambyl,18.113316910592673
2014,на 100 000 родившихся живыми,Karagandy,16.0655474335288
2014,на 100 000 родившихся живыми,Kostanay,15.730690577316347
2014,на 100 000 родившихся живыми,Kyzylorda,10.012014417300762
