Year,Units,Age,Types of skills,Regions,Value
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Kostanay,24.2
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kostanay,25.5
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kostanay,41.4
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kostanay,45.2
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kostanay,37.5
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Kostanay,28.0
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Kostanay,35.7
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Kostanay,39.0
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Kostanay,46.6
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Kostanay,3.3
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Kostanay,0.7
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Kostanay,2.6
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Kostanay,0.5
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Kyzylorda,8.1
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Kyzylorda,23.3
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Kyzylorda,19.8
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Kyzylorda,18.4
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Kyzylorda,17.7
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Kyzylorda,20.8
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Kyzylorda,16.8
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Kyzylorda,22.4
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Kyzylorda,24.1
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Kyzylorda,29.1
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Kyzylorda,18.8
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Kyzylorda,37.8
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Kyzylorda,33.6
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Kyzylorda,54.4
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Kyzylorda,51.2
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Kyzylorda,52.9
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Kyzylorda,11.9
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Kyzylorda,14.4
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Kyzylorda,11.5
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Kyzylorda,15.3
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Kyzylorda,15.1
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Kyzylorda,9.0
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Kyzylorda,11.3
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Kyzylorda,20.0
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kyzylorda,13.5
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kyzylorda,13.4
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kyzylorda,24.4
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Kyzylorda,19.0
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Kyzylorda,17.5
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Kyzylorda,19.2
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Kyzylorda,17.3
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Kyzylorda,13.8
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Kyzylorda,3.7
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Kyzylorda,5.8
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Kyzylorda,3.9
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Kyzylorda,9.3
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Mangistau,8.1
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Mangistau,32.1
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Mangistau,8.5
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Mangistau,27.5
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Mangistau,12.9
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Mangistau,1.7
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Mangistau,5.7
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Mangistau,12.8
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Mangistau,57.1
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Mangistau,54.8
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Mangistau,68.9
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Mangistau,85.5
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Mangistau,33.1
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Mangistau,33.6
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Mangistau,32.5
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Mangistau,62.8
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Mangistau,8.7
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Mangistau,4.0
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Mangistau,16.7
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Mangistau,13.7
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Mangistau,27.9
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Mangistau,10.5
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Mangistau,14.5
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Mangistau,37.1
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Mangistau,18.1
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Mangistau,9.1
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Mangistau,30.9
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Mangistau,30.0
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Mangistau,10.0
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Mangistau,15.2
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Mangistau,5.2
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Mangistau,5.7
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Mangistau,3.3
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Mangistau,2.2
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Mangistau,4.9
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Mangistau,6.9
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Pavlodar,12.0
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Pavlodar,29.0
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Pavlodar,36.1
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Pavlodar,43.1
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Pavlodar,22.8
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Pavlodar,21.0
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Pavlodar,32.7
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Pavlodar,34.4
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Pavlodar,37.3
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Pavlodar,61.5
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Pavlodar,51.8
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Pavlodar,82.0
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Pavlodar,28.2
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Pavlodar,36.8
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Pavlodar,40.2
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Pavlodar,69.3
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Pavlodar,13.4
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Pavlodar,18.6
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Pavlodar,18.9
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Pavlodar,19.2
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Pavlodar,11.2
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Pavlodar,18.2
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Pavlodar,14.4
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Pavlodar,31.5
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Pavlodar,19.7
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Pavlodar,21.4
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Pavlodar,28.2
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Pavlodar,32.9
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Pavlodar,25.6
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Pavlodar,25.9
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Pavlodar,31.6
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Pavlodar,42.1
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Pavlodar,4.0
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Pavlodar,5.8
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Pavlodar,2.8
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Pavlodar,9.0
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Soltustik Kazakhstan,17.7
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Soltustik Kazakhstan,47.6
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Soltustik Kazakhstan,67.2
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Soltustik Kazakhstan,70.1
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Soltustik Kazakhstan,22.4
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Soltustik Kazakhstan,29.0
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Soltustik Kazakhstan,30.7
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Soltustik Kazakhstan,46.3
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Soltustik Kazakhstan,38.7
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Soltustik Kazakhstan,72.7
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Soltustik Kazakhstan,73.8
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Soltustik Kazakhstan,77.5
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Soltustik Kazakhstan,36.6
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Soltustik Kazakhstan,55.1
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Soltustik Kazakhstan,55.3
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Soltustik Kazakhstan,89.8
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Soltustik Kazakhstan,20.5
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Soltustik Kazakhstan,24.8
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Soltustik Kazakhstan,23.4
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Soltustik Kazakhstan,21.6
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Soltustik Kazakhstan,14.2
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Soltustik Kazakhstan,11.7
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Soltustik Kazakhstan,25.9
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Soltustik Kazakhstan,26.6
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Soltustik Kazakhstan,24.5
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Soltustik Kazakhstan,31.3
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Soltustik Kazakhstan,37.4
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Soltustik Kazakhstan,36.7
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Soltustik Kazakhstan,28.9
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Soltustik Kazakhstan,42.7
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Soltustik Kazakhstan,43.5
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Soltustik Kazakhstan,52.1
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Soltustik Kazakhstan,3.7
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Soltustik Kazakhstan,0.5
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Soltustik Kazakhstan,3.8
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Soltustik Kazakhstan,1.7
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Turkistan,18.6
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Turkistan,45.6
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Turkistan,52.8
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Turkistan,57.0
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Turkistan,13.6
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Turkistan,12.5
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Turkistan,8.9
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Turkistan,20.3
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Turkistan,41.0
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Turkistan,45.0
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Turkistan,50.2
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Turkistan,65.5
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Turkistan,44.0
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Turkistan,45.7
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Turkistan,57.0
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Turkistan,70.0
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Turkistan,11.2
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Turkistan,13.7
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Turkistan,17.6
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Turkistan,21.2
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Turkistan,15.3
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Turkistan,9.6
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Turkistan,19.3
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Turkistan,16.1
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Turkistan,20.0
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Turkistan,25.1
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Turkistan,27.3
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Turkistan,22.2
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Turkistan,14.0
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Turkistan,22.0
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Turkistan,25.8
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Turkistan,27.7
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Turkistan,2.9
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Turkistan,3.3
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Turkistan,6.5
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Turkistan,7.1
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Shygys Kazakhstan,14.8
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Shygys Kazakhstan,37.6
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Shygys Kazakhstan,25.7
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Shygys Kazakhstan,17.7
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Shygys Kazakhstan,20.9
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Shygys Kazakhstan,13.8
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Shygys Kazakhstan,18.4
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Shygys Kazakhstan,18.6
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Shygys Kazakhstan,51.5
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Shygys Kazakhstan,49.0
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Shygys Kazakhstan,61.7
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Shygys Kazakhstan,64.3
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Shygys Kazakhstan,43.0
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Shygys Kazakhstan,55.2
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Shygys Kazakhstan,43.6
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Shygys Kazakhstan,51.7
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Shygys Kazakhstan,9.4
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Shygys Kazakhstan,10.1
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Shygys Kazakhstan,24.4
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Shygys Kazakhstan,25.8
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Shygys Kazakhstan,5.5
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Shygys Kazakhstan,12.0
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Shygys Kazakhstan,20.1
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Shygys Kazakhstan,18.8
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Shygys Kazakhstan,20.2
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Shygys Kazakhstan,26.1
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Shygys Kazakhstan,29.1
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Shygys Kazakhstan,29.6
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Shygys Kazakhstan,17.2
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Shygys Kazakhstan,25.8
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Shygys Kazakhstan,13.2
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Shygys Kazakhstan,14.0
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Shygys Kazakhstan,2.3
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Shygys Kazakhstan,1.2
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Shygys Kazakhstan,13.0
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Shygys Kazakhstan,14.9
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Nur-Sultan city,29.1
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Nur-Sultan city,62.7
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Nur-Sultan city,11.8
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Nur-Sultan city,25.8
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Nur-Sultan city,58.6
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Nur-Sultan city,63.8
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Nur-Sultan city,18.5
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Nur-Sultan city,31.7
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Nur-Sultan city,81.4
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Nur-Sultan city,72.9
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Nur-Sultan city,88.4
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Nur-Sultan city,79.7
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Nur-Sultan city,66.3
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Nur-Sultan city,74.3
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Nur-Sultan city,46.7
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Nur-Sultan city,80.7
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Nur-Sultan city,42.1
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Nur-Sultan city,65.3
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Nur-Sultan city,11.5
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Nur-Sultan city,30.1
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Nur-Sultan city,47.3
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Nur-Sultan city,65.6
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Nur-Sultan city,34.7
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Nur-Sultan city,43.7
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Nur-Sultan city,51.5
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Nur-Sultan city,63.4
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Nur-Sultan city,11.3
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Nur-Sultan city,48.0
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Nur-Sultan city,50.1
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Nur-Sultan city,59.0
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Nur-Sultan city,11.8
