Year,Units,Age,Types of skills,Regions,Value
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Almaty,27.7
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty,20.4
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty,17.9
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty,17.7
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty,16.7
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty,40.3
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty,56.8
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty,71.9
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty,83.2
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty,31.4
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty,45.6
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty,43.9
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty,75.0
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Almaty,7.6
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Almaty,22.1
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Almaty,21.5
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Almaty,20.8
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Almaty,10.7
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Almaty,8.0
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Almaty,18.0
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Almaty,11.0
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Almaty,9.5
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Almaty,30.2
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Almaty,17.6
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Almaty,15.9
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Almaty,21.1
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Almaty,10.7
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Almaty,10.9
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Almaty,10.5
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Almaty,1.9
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Almaty,1.9
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Almaty,3.1
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Almaty,0.7
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Atyrau,11.0
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Atyrau,32.1
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Atyrau,39.3
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Atyrau,40.0
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Atyrau,15.0
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Atyrau,9.2
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Atyrau,14.0
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Atyrau,27.0
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Atyrau,56.2
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Atyrau,77.7
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Atyrau,79.8
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Atyrau,62.2
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Atyrau,30.4
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Atyrau,35.9
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Atyrau,37.1
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Atyrau,75.7
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Atyrau,4.6
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Atyrau,13.0
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Atyrau,11.1
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Atyrau,13.9
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Atyrau,3.8
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Atyrau,19.4
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Atyrau,17.1
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Atyrau,42.6
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Atyrau,16.2
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Atyrau,12.4
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Atyrau,23.3
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Atyrau,28.0
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Atyrau,21.7
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Atyrau,15.3
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Atyrau,27.0
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Atyrau,41.5
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Atyrau,3.9
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Atyrau,5.2
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Atyrau,8.4
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Atyrau,3.0
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Batys Kazakhstan,13.3
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Batys Kazakhstan,32.2
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Batys Kazakhstan,35.3
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Batys Kazakhstan,41.6
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Batys Kazakhstan,23.5
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Batys Kazakhstan,15.7
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Batys Kazakhstan,25.4
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Batys Kazakhstan,30.1
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Batys Kazakhstan,74.7
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Batys Kazakhstan,81.0
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Batys Kazakhstan,84.9
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Batys Kazakhstan,68.1
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Batys Kazakhstan,52.1
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Batys Kazakhstan,41.6
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Batys Kazakhstan,56.8
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Batys Kazakhstan,89.3
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Batys Kazakhstan,15.4
