Year,Units,Protected fish resources,Value
2015,units,,70.0
2016,units,,70.0
2017,units,,70.0
2018,units,,70.0
2015,units,"ценные виды, являющиеся объектами рыболовства",52.0
2016,units,"ценные виды, являющиеся объектами рыболовства",52.0
2017,units,"ценные виды, являющиеся объектами рыболовства",52.0
2018,units,"ценные виды, являющиеся объектами рыболовства",52.0
2015,units,редкие и находящиеся под угрозой исчезновения виды водных животных,18.0
2016,units,редкие и находящиеся под угрозой исчезновения виды водных животных,18.0
2017,units,редкие и находящиеся под угрозой исчезновения виды водных животных,18.0
2018,units,редкие и находящиеся под угрозой исчезновения виды водных животных,18.0
