Year,Units,Official development assistance,Value
2010,млн.долл.США,Kazakhstan as beneficiary,52.809627
2011,млн.долл.США,Kazakhstan as beneficiary,13.769589999999999
2012,млн.долл.США,Kazakhstan as beneficiary,3.400815
2013,млн.долл.США,Kazakhstan as beneficiary,32.236242
2014,млн.долл.США,Kazakhstan as beneficiary,6.119229
2015,млн.долл.США,Kazakhstan as beneficiary,64.913873
2016,млн.долл.США,Kazakhstan as beneficiary,3.961957
2016,млн.долл.США,Kazakhstan as donor,0.00315
2017,млн.долл.США,Kazakhstan as beneficiary,42.990499
2017,млн.долл.США,Kazakhstan as donor,0.003098
