Year,Units,View of PM particles,Regions,City,GeoCode,Value
2016,mg per cube meters,,,village Yanvartsevo,,0.004
2015,mg per cube meters,,,city Karagandy,,0.06
2016,mg per cube meters,,,city Karagandy,,0.1
2017,mg per cube meters,,,city Karagandy,,0.1
2018,mg per cube meters,,,city Karagandy,,0.11
2015,mg per cube meters,,,city Balkhash,,0.0338
2016,mg per cube meters,,,city Balkhash,,0.03
2017,mg per cube meters,,,city Balkhash,,0.03
2015,mg per cube meters,,,city Zhezkazgan,,0.002
2016,mg per cube meters,,,city Zhezkazgan,,0.01
2017,mg per cube meters,,,city Zhezkazgan,,0.01
2015,mg per cube meters,,,city Saran,,0.0272
2016,mg per cube meters,,,city Saran,,0.02
2017,mg per cube meters,,,city Saran,,0.02
2018,mg per cube meters,,,city Saran,,0.017
2015,mg per cube meters,,,Karabalyk,,0.0131
2016,mg per cube meters,,,Karabalyk,,0.02
2017,mg per cube meters,,,Karabalyk,,0.02
2018,mg per cube meters,,,Karabalyk,,0.01
2016,mg per cube meters,,,city Kyzylorda,,0.02
2017,mg per cube meters,,,city Kyzylorda,,0.01
2018,mg per cube meters,,,city Kyzylorda,,0.01
2015,mg per cube meters,,,city Aktau,,0.016
2016,mg per cube meters,,,city Aktau,,0.0
2017,mg per cube meters,,,city Aktau,,0.02
2018,mg per cube meters,,,city Aktau,,0.009000000000000001
2015,mg per cube meters,,,village Beineu,,0.017
2016,mg per cube meters,,,village Beineu,,0.01
2017,mg per cube meters,,,village Beineu,,0.01
2018,mg per cube meters,,,village Beineu,,0.005
2015,mg per cube meters,,,city Pavlodar,,0.016
2016,mg per cube meters,,,city Pavlodar,,0.008
2017,mg per cube meters,,,city Pavlodar,,0.0053
2018,mg per cube meters,,,city Pavlodar,,0.0046
2015,mg per cube meters,,,city Ekibastuz,,0.015
2016,mg per cube meters,,,city Ekibastuz,,0.02
2017,mg per cube meters,,,city Ekibastuz,,0.01
2018,mg per cube meters,,,city Ekibastuz,,0.0
2015,mg per cube meters,,,city Petropavl,,0.009000000000000001
2016,mg per cube meters,,,city Petropavl,,0.01
2017,mg per cube meters,,,city Petropavl,,0.016
2018,mg per cube meters,,,city Petropavl,,0.01
2015,mg per cube meters,,Shymkent city,city Aksu,,0.019
2016,mg per cube meters,,Shymkent city,city Aksu,,0.0
2017,mg per cube meters,,Shymkent city,city Aksu,,0.04
2018,mg per cube meters,,Shymkent city,city Aksu,,0.04
2015,mg per cube meters,,,city Kentau,,0.011000000000000001
2016,mg per cube meters,,,city Kentau,,0.0
2017,mg per cube meters,,,city Kentau,,0.0
2018,mg per cube meters,,,city Kentau,,0.006
2014,mg per cube meters,suspended particles PM-10,Nur-Sultan city,,,0.018000000000000002
2015,mg per cube meters,suspended particles PM-10,Nur-Sultan city,,,0.055999999999999994
2016,mg per cube meters,suspended particles PM-10,Nur-Sultan city,,,0.1
2017,mg per cube meters,suspended particles PM-10,Nur-Sultan city,,,0.06
2018,mg per cube meters,suspended particles PM-10,Nur-Sultan city,,,0.02
2014,mg per cube meters,suspended particles PM-10,,City Kokshetau,,0.268
2015,mg per cube meters,suspended particles PM-10,,City Kokshetau,,0.1156
2016,mg per cube meters,suspended particles PM-10,,City Kokshetau,,0.002
2017,mg per cube meters,suspended particles PM-10,,City Kokshetau,,0.002
2018,mg per cube meters,suspended particles PM-10,,City Kokshetau,,0.004
2015,mg per cube meters,suspended particles PM-10,,City Stepnogorsk,,0.0184
2016,mg per cube meters,suspended particles PM-10,,City Stepnogorsk,,0.008
2017,mg per cube meters,suspended particles PM-10,,City Stepnogorsk,,0.003
2014,mg per cube meters,suspended particles PM-10,,SKFM «Borovoe»,,0.0709
2015,mg per cube meters,suspended particles PM-10,,SKFM «Borovoe»,,0.028999999999999998
2016,mg per cube meters,suspended particles PM-10,,SKFM «Borovoe»,,0.02
2017,mg per cube meters,suspended particles PM-10,,SKFM «Borovoe»,,0.02
2018,mg per cube meters,suspended particles PM-10,,SKFM «Borovoe»,,0.05
2014,mg per cube meters,suspended particles PM-10,,SHBKZ,,0.0585
2015,mg per cube meters,suspended particles PM-10,,SHBKZ,,0.076
2016,mg per cube meters,suspended particles PM-10,,SHBKZ,,0.03
2017,mg per cube meters,suspended particles PM-10,,SHBKZ,,0.02
2018,mg per cube meters,suspended particles PM-10,,SHBKZ,,0.02
2016,mg per cube meters,suspended particles PM-10,,village Sarıbulak,,0.01
2017,mg per cube meters,suspended particles PM-10,,village Sarıbulak,,0.01
2018,mg per cube meters,suspended particles PM-10,,village Sarıbulak,,0.01
2014,mg per cube meters,suspended particles PM-10,,city Aktobe,,0.039
2015,mg per cube meters,suspended particles PM-10,,city Aktobe,,0.049
2016,mg per cube meters,suspended particles PM-10,,city Aktobe,,0.04
2017,mg per cube meters,suspended particles PM-10,,city Aktobe,,0.04
2018,mg per cube meters,suspended particles PM-10,,city Aktobe,,0.027999999999999997
2014,mg per cube meters,suspended particles PM-10,Almaty city,,,0.012
2015,mg per cube meters,suspended particles PM-10,Almaty city,,,0.06
2016,mg per cube meters,suspended particles PM-10,Almaty city,,,0.05
2017,mg per cube meters,suspended particles PM-10,Almaty city,,,0.3
2018,mg per cube meters,suspended particles PM-10,Almaty city,,,0.03
2014,mg per cube meters,suspended particles PM-10,,city Taldıkorgan,,0.08199999999999999
2015,mg per cube meters,suspended particles PM-10,,city Taldıkorgan,,0.24100000000000002
