Year,Units,Official development assistance,Value
2010,millions of US dollars,Kazakhstan as beneficiary,948.3
2011,millions of US dollars,Kazakhstan as beneficiary,3166.8
2012,millions of US dollars,Kazakhstan as beneficiary,932.5
2013,millions of US dollars,Kazakhstan as beneficiary,4586.1
2014,millions of US dollars,Kazakhstan as beneficiary,1892.8
2015,millions of US dollars,Kazakhstan as beneficiary,4429.7
2016,millions of US dollars,Kazakhstan as beneficiary,419.5
2017,millions of US dollars,Kazakhstan as beneficiary,-3835.7
2013,millions of US dollars,Kazakhstan as donor,8.5
2014,millions of US dollars,Kazakhstan as donor,33.4
2015,millions of US dollars,Kazakhstan as donor,43.0
2016,millions of US dollars,Kazakhstan as donor,30.8
2017,millions of US dollars,Kazakhstan as donor,35.2
