Year,Units,Value
2010,Percent,0.03
2011,Percent,0.02
2012,Percent,0.02
2013,Percent,0.04
2014,Percent,0.02
2015,Percent,0.04
2016,Percent,0.05
2017,Percent,0.05
2018,Percent,0.04
