Year,Units,ecology,Value
2012,Percent,Share of solid domestic waste processing,1.0
2013,Percent,Share of solid domestic waste processing,1.6
2014,Percent,Share of solid domestic waste processing,2.2
2015,Percent,Share of solid domestic waste processing,1.8
2016,Percent,Share of solid domestic waste processing,2.6
2017,Percent,Share of solid domestic waste processing,9.0
2018,Percent,Share of solid domestic waste processing,11.5
