Year,Units,Official development assistance,Value
2015,millions of US dollars,Казахстан-получатель (валовый),4.266
2016,millions of US dollars,Казахстан-получатель (валовый),6.45
2017,millions of US dollars,Казахстан-получатель (валовый),11.38
2015,millions of US dollars,Казахстан-донор (валовый),0.0449
2015,millions of US dollars,Казахстан-получатель (чистый),4.265
2016,millions of US dollars,Казахстан-получатель (чистый),6.447
2017,millions of US dollars,Казахстан-получатель (чистый),10.776
2015,millions of US dollars,Казахстан-донор (чистый),0.0449
