Year,Units,Regions,GeoCode,Value
2010,thousand of tenge,,,428.8
2011,thousand of tenge,,,641.6
2012,thousand of tenge,,,612.2
2013,thousand of tenge,,,781.9
2014,thousand of tenge,,,1070.2
2015,thousand of tenge,,,1242.3
2016,thousand of tenge,,,1401.9
2017,thousand of tenge,,,1636.2
2018,thousand of tenge,,,1913.9
2010,thousand of tenge,Akmola,KZ03,499.9
2011,thousand of tenge,Akmola,KZ03,1146.2
2012,thousand of tenge,Akmola,KZ03,682.4
2013,thousand of tenge,Akmola,KZ03,1018.0
2014,thousand of tenge,Akmola,KZ03,1075.3
2015,thousand of tenge,Akmola,KZ03,1216.0
2016,thousand of tenge,Akmola,KZ03,1365.9
2017,thousand of tenge,Akmola,KZ03,1558.5
2018,thousand of tenge,Akmola,KZ03,1797.5
2010,thousand of tenge,Aktobe,KZ04,478.3
2011,thousand of tenge,Aktobe,KZ04,847.3
2012,thousand of tenge,Aktobe,KZ04,1035.1
2013,thousand of tenge,Aktobe,KZ04,1465.2
2014,thousand of tenge,Aktobe,KZ04,1910.7
2015,thousand of tenge,Aktobe,KZ04,1732.3
2016,thousand of tenge,Aktobe,KZ04,1964.8
2017,thousand of tenge,Aktobe,KZ04,2528.3
2018,thousand of tenge,Aktobe,KZ04,3830.8
2010,thousand of tenge,Almaty,KZ01,387.2
2011,thousand of tenge,Almaty,KZ01,431.0
2012,thousand of tenge,Almaty,KZ01,444.3
2013,thousand of tenge,Almaty,KZ01,612.3
2014,thousand of tenge,Almaty,KZ01,893.4
2015,thousand of tenge,Almaty,KZ01,1088.2
2016,thousand of tenge,Almaty,KZ01,1135.9
2017,thousand of tenge,Almaty,KZ01,1365.9
2018,thousand of tenge,Almaty,KZ01,1728.5
2010,thousand of tenge,Atyrau,KZ06,866.7
2011,thousand of tenge,Atyrau,KZ06,1172.5
2012,thousand of tenge,Atyrau,KZ06,2271.6
2013,thousand of tenge,Atyrau,KZ06,4017.8
2014,thousand of tenge,Atyrau,KZ06,4021.6
2015,thousand of tenge,Atyrau,KZ06,5158.1
2016,thousand of tenge,Atyrau,KZ06,5338.7
2017,thousand of tenge,Atyrau,KZ06,6124.9
2018,thousand of tenge,Atyrau,KZ06,6686.4
2010,thousand of tenge,Batys Kazakhstan,KZ07,345.9
2011,thousand of tenge,Batys Kazakhstan,KZ07,487.3
2012,thousand of tenge,Batys Kazakhstan,KZ07,528.9
2013,thousand of tenge,Batys Kazakhstan,KZ07,633.0
2014,thousand of tenge,Batys Kazakhstan,KZ07,768.5
2015,thousand of tenge,Batys Kazakhstan,KZ07,831.9
2016,thousand of tenge,Batys Kazakhstan,KZ07,993.5
2017,thousand of tenge,Batys Kazakhstan,KZ07,1042.3
2018,thousand of tenge,Batys Kazakhstan,KZ07,1104.1
2010,thousand of tenge,Zhambyl,KZ17,233.6
2011,thousand of tenge,Zhambyl,KZ17,314.5
2012,thousand of tenge,Zhambyl,KZ17,348.1
2013,thousand of tenge,Zhambyl,KZ17,421.3
2014,thousand of tenge,Zhambyl,KZ17,799.6
2015,thousand of tenge,Zhambyl,KZ17,824.5
2016,thousand of tenge,Zhambyl,KZ17,925.6
2017,thousand of tenge,Zhambyl,KZ17,902.7
2018,thousand of tenge,Zhambyl,KZ17,959.1
2010,thousand of tenge,Karagandy,KZ12,463.5
2011,thousand of tenge,Karagandy,KZ12,594.5
