Year,Units,Budget expenditures,Value
2010,Percent,The ratio of public debt to GDP,14.4
2011,Percent,The ratio of public debt to GDP,11.6
2012,Percent,The ratio of public debt to GDP,12.3
2013,Percent,The ratio of public debt to GDP,12.3
2014,Percent,The ratio of public debt to GDP,14.3
2015,Percent,The ratio of public debt to GDP,22.1
2016,Percent,The ratio of public debt to GDP,24.3
2017,Percent,The ratio of public debt to GDP,25.4
2018,Percent,The ratio of public debt to GDP,25.8
