Year,Units,Value
2010,million tenge,-527264178.8
2011,million tenge,-568618498.5
2012,million tenge,-890308744.0
2013,million tenge,-700927751.3
2014,million tenge,-1086670436.5
2015,million tenge,-915704.8
2016,million tenge,-737717.6
2017,million tenge,-1455319.8
