Year,Units,Жынысы,Value
2010,пайыз,,4.1
2011,пайыз,,4.0
2012,пайыз,,4.2
2013,пайыз,,4.1
2014,пайыз,,4.9
2015,пайыз,,5.1
2016,пайыз,,4.8
2017,пайыз,,5.2
2010,пайыз,ерлер,4.0
2011,пайыз,ерлер,3.7
2012,пайыз,ерлер,3.8
2013,пайыз,ерлер,3.7
2014,пайыз,ерлер,4.3
2015,пайыз,ерлер,4.6
2016,пайыз,ерлер,4.1
2017,пайыз,ерлер,4.5
2010,пайыз,әйелдер,4.2
2011,пайыз,әйелдер,4.2
2012,пайыз,әйелдер,4.5
2013,пайыз,әйелдер,4.5
2014,пайыз,әйелдер,5.4
2015,пайыз,әйелдер,5.6
2016,пайыз,әйелдер,5.6
2017,пайыз,әйелдер,5.9
