Year,Units,Экономикалық қызмет түрлері,Өңірлер,Жынысы,Жасы,Value
2014,пайыз,,,,,837.0
2015,пайыз,,,,,880.0
2016,пайыз,,,,,950.0
2017,пайыз,,,,,927.0
2018,пайыз,,,,,958.5151485136366
2018,пайыз,,Ақмола,,,705.7338103367453
2018,пайыз,,Ақтөбе,,,749.9403816528461
2018,пайыз,,Алматы,,,712.5847361063737
2018,пайыз,,Атырау,,,1718.4145975772635
2018,пайыз,,Батыс Қазақстан,,,1202.4329026593389
2018,пайыз,,Жамбыл,,,612.5503305092177
2018,пайыз,,Қарағанды,,,808.4899840439411
2018,пайыз,,Қостанай,,,685.4316642192142
2018,пайыз,,Қызылорда,,,719.6827426954272
2018,пайыз,,Маңғыстау,,,1410.596779139893
2018,пайыз,,Оңтүстік Қазақстан,,,629.7078541847877
2018,пайыз,,Павлодар,,,774.1072345250178
2018,пайыз,,Солтүстік Қазақстан,,,636.075437253919
2018,пайыз,,Шығыс Қазақстан,,,740.5936808949231
2018,пайыз,,Нұр-Сұлтан қаласы,,,1421.594091621348
2018,пайыз,,Алматы қаласы,,,1335.178709631454
2018,пайыз,,,ерлер,,1122.0
2018,пайыз,,Ақмола,ерлер,,791.8277715555887
2018,пайыз,,Ақтөбе,ерлер,,850.0106175079311
2018,пайыз,,Алматы,ерлер,,813.2004042336812
2018,пайыз,,Атырау,ерлер,,2105.485505233839
2018,пайыз,,Батыс Қазақстан,ерлер,,1588.0131622797517
2018,пайыз,,Жамбыл,ерлер,,690.396121066768
2018,пайыз,,Қарағанды,ерлер,,912.6305495036747
2018,пайыз,,Қостанай,ерлер,,752.2667915280903
2018,пайыз,,Қызылорда,ерлер,,811.0115265176171
2018,пайыз,,Маңғыстау,ерлер,,1826.7456721226672
2018,пайыз,,Оңтүстік Қазақстан,ерлер,,686.1706116178742
2018,пайыз,,Павлодар,ерлер,,873.4059306387303
2018,пайыз,,Солтүстік Қазақстан,ерлер,,682.4451707681433
2018,пайыз,,Шығыс Қазақстан,ерлер,,827.5748212467798
2018,пайыз,,Нұр-Сұлтан қаласы,ерлер,,1636.97878273412
2018,пайыз,,Алматы қаласы,ерлер,,1438.2097524247042
2018,пайыз,,,әйелдер,,784.8041675593731
2018,пайыз,,Ақмола,әйелдер,,601.9764745360224
2018,пайыз,,Ақтөбе,әйелдер,,638.5053334172768
2018,пайыз,,Алматы,әйелдер,,630.338937140128
2018,пайыз,,Атырау,әйелдер,,1146.1094915230133
2018,пайыз,,Батыс Қазақстан,әйелдер,,742.9937060373288
2018,пайыз,,Жамбыл,әйелдер,,542.7812571357579
2018,пайыз,,Қарағанды,әйелдер,,681.5429931938974
2018,пайыз,,Қостанай,әйелдер,,603.9810968252564
2018,пайыз,,Қызылорда,әйелдер,,608.8472036092181
2018,пайыз,,Маңғыстау,әйелдер,,899.0227153419029
2018,пайыз,,Оңтүстік Қазақстан,әйелдер,,588.494062050237
2018,пайыз,,Павлодар,әйелдер,,667.4713091753375
2018,пайыз,,Солтүстік Қазақстан,әйелдер,,590.1913122813099
2018,пайыз,,Шығыс Қазақстан,әйелдер,,643.9315790313094
2018,пайыз,,Нұр-Сұлтан қаласы,әйелдер,,1178.580312035197
2018,пайыз,,Алматы қаласы,әйелдер,,1217.1963310725337
2018,пайыз,,,,16-24,577.0
2018,пайыз,,,,25-28,764.0
2018,пайыз,,,,29-34,961.0
2018,пайыз,,,,35-44,1102.0
2018,пайыз,,,,45-54,977.0
2018,пайыз,,,,55-64,951.0
2018,пайыз,,,,65 және одан үлкен,1159.0
2018,пайыз,,Ақмола,,16-24,485.0
2018,пайыз,,Ақмола,,25-28,598.0
2018,пайыз,,Ақмола,,29-34,739.0
2018,пайыз,,Ақмола,,35-44,792.0
2018,пайыз,,Ақмола,,45-54,716.0
2018,пайыз,,Ақмола,,55-64,670.0
2018,пайыз,,Ақмола,,65 және одан үлкен,674.0
2018,пайыз,,Ақтөбе,,16-24,478.0
2018,пайыз,,Ақтөбе,,25-28,622.0
2018,пайыз,,Ақтөбе,,29-34,747.0
2018,пайыз,,Ақтөбе,,35-44,819.0
2018,пайыз,,Ақтөбе,,45-54,773.0
