Year,Units,Ауытқу дәрежесі,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),Жынысы,Аймақ,Өңірлер,Жасы,ана білімі,Квинтильді әл-ауқат индексі,үй шаруашылық басшысының ұлты,Value
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Солтүстік Қазақстан,,,,,10.6
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Солтүстік Қазақстан,,,,,2.3
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Шығыс Қазақстан,,,,,16.6
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Шығыс Қазақстан,,,,,7.2
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Нұр-Сұлтан қаласы,,,,,19.7
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Нұр-Сұлтан қаласы,,,,,7.1
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Алматы қаласы,,,,,17.1
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Алматы қаласы,,,,,6.3
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,білім жоқ/бастауыш,,,12.9
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,негізгі орта,,,6.9
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,жалпы орта,,,15.5
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,жалпы орта,,,9.3
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,техникалық және кәсіби,,,11.7
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,техникалық және кәсіби,,,9.2
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,жоғары,,,11.5
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,жоғары,,,6.6
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,ең кедей,,14.4
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,ең кедей,,10.3
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,екінші,,14.5
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,екінші,,8.1
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,орташа,,9.9
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,орташа,,8.3
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,төртінші,,13.9
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,төртінші,,6.9
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,ең бай,,12.1
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,ең бай,,6.2
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,,Қазақтар,13.6
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,,Қазақтар,7.7
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,,Орыстар,11.9
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,,Орыстар,6.9
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,,басқа,11.5
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,,,,басқа,9.9
