Year,Units,Өңірлер,GeoCode,Value
2014,адам,Шығыс Қазақстан,KZ15,13508.0
2015,адам,Шығыс Қазақстан,KZ15,6051.0
2016,адам,Шығыс Қазақстан,KZ15,2265.0
2017,адам,Шығыс Қазақстан,KZ15,2320.0
2018,адам,Шығыс Қазақстан,KZ15,2293.0
2010,адам,Нұр-Сұлтан қаласы,KZ05,3.0
2011,адам,Нұр-Сұлтан қаласы,KZ05,6545.0
2012,адам,Нұр-Сұлтан қаласы,KZ05,6791.0
2013,адам,Нұр-Сұлтан қаласы,KZ05,6918.0
2014,адам,Нұр-Сұлтан қаласы,KZ05,9393.0
2015,адам,Нұр-Сұлтан қаласы,KZ05,7881.0
2016,адам,Нұр-Сұлтан қаласы,KZ05,9686.0
2017,адам,Нұр-Сұлтан қаласы,KZ05,4513.0
2018,адам,Нұр-Сұлтан қаласы,KZ05,4703.0
2010,адам,Алматы қаласы,KZ02,16347.0
2011,адам,Алматы қаласы,KZ02,40743.0
2012,адам,Алматы қаласы,KZ02,42926.0
2013,адам,Алматы қаласы,KZ02,44195.0
2014,адам,Алматы қаласы,KZ02,49284.0
2015,адам,Алматы қаласы,KZ02,50246.0
2016,адам,Алматы қаласы,KZ02,49914.0
2017,адам,Алматы қаласы,KZ02,48834.0
2018,адам,Алматы қаласы,KZ02,48792.0
2018,адам,Шымкент қаласы,KZ18,94.0
