Year,Units,Өңірлер,GeoCode,Value
2010,адам,,,107786.0
2011,адам,,,134568.0
2012,адам,,,114150.0
2013,адам,,,111466.0
2014,адам,,,120609.0
2015,адам,,,108673.0
2016,адам,,,77947.0
2017,адам,,,68392.0
2018,адам,,,68339.0
2010,адам,Ақмола,KZ03,1423.0
2011,адам,Ақмола,KZ03,1192.0
2012,адам,Ақмола,KZ03,786.0
2013,адам,Ақмола,KZ03,581.0
2014,адам,Ақмола,KZ03,595.0
2015,адам,Ақмола,KZ03,1586.0
2016,адам,Ақмола,KZ03,371.0
2017,адам,Ақмола,KZ03,389.0
2018,адам,Ақмола,KZ03,384.0
2010,адам,Ақтөбе,KZ04,5642.0
2011,адам,Ақтөбе,KZ04,2221.0
2012,адам,Ақтөбе,KZ04,2229.0
2013,адам,Ақтөбе,KZ04,2172.0
2014,адам,Ақтөбе,KZ04,1047.0
2015,адам,Ақтөбе,KZ04,1182.0
2016,адам,Ақтөбе,KZ04,451.0
2017,адам,Ақтөбе,KZ04,384.0
2018,адам,Ақтөбе,KZ04,384.0
2010,адам,Алматы,KZ01,3869.0
2011,адам,Алматы,KZ01,3475.0
2012,адам,Алматы,KZ01,2680.0
2013,адам,Алматы,KZ01,2287.0
2014,адам,Алматы,KZ01,1908.0
2015,адам,Алматы,KZ01,1607.0
2016,адам,Алматы,KZ01,1686.0
2017,адам,Алматы,KZ01,1763.0
2018,адам,Алматы,KZ01,1680.0
2010,адам,Атырау,KZ06,1558.0
2011,адам,Атырау,KZ06,1720.0
2012,адам,Атырау,KZ06,2802.0
2013,адам,Атырау,KZ06,2818.0
2014,адам,Атырау,KZ06,2760.0
2015,адам,Атырау,KZ06,3124.0
2016,адам,Атырау,KZ06,1309.0
2017,адам,Атырау,KZ06,1462.0
2018,адам,Атырау,KZ06,1455.0
2010,адам,Батыс Қазақстан,,3019.0
2011,адам,Батыс Қазақстан,,3059.0
2012,адам,Батыс Қазақстан,KZ07,2698.0
2013,адам,Батыс Қазақстан,KZ07,2643.0
2014,адам,Батыс Қазақстан,KZ07,2580.0
2015,адам,Батыс Қазақстан,KZ07,2414.0
2016,адам,Батыс Қазақстан,KZ07,2633.0
2017,адам,Батыс Қазақстан,KZ07,1679.0
2018,адам,Батыс Қазақстан,KZ07,1674.0
2011,адам,Жамбыл,KZ17,286.0
2012,адам,Жамбыл,KZ17,534.0
2013,адам,Жамбыл,KZ17,679.0
2014,адам,Жамбыл,KZ17,3561.0
2015,адам,Жамбыл,KZ17,3376.0
2016,адам,Жамбыл,KZ17,3.0
2017,адам,Жамбыл,KZ17,2.0
2010,адам,Қарағанды,KZ12,9640.0
2011,адам,Қарағанды,KZ12,9270.0
2012,адам,Қарағанды,KZ12,7768.0
2013,адам,Қарағанды,KZ12,7451.0
2014,адам,Қарағанды,KZ12,7919.0
2015,адам,Қарағанды,KZ12,7120.0
2016,адам,Қарағанды,KZ12,1678.0
2017,адам,Қарағанды,KZ12,1713.0
2018,адам,Қарағанды,KZ12,1722.0
2010,адам,Қостанай,KZ13,6198.0
2011,адам,Қостанай,KZ13,6106.0
2012,адам,Қостанай,KZ13,5938.0
2013,адам,Қостанай,KZ13,5947.0
2014,адам,Қостанай,KZ13,5847.0
2015,адам,Қостанай,KZ13,6202.0
2016,адам,Қостанай,KZ13,3731.0
2017,адам,Қостанай,KZ13,2431.0
2018,адам,Қостанай,KZ13,2433.0
2010,адам,Қызылорда,KZ14,10565.0
2011,адам,Қызылорда,KZ14,12262.0
2012,адам,Қызылорда,KZ14,1262.0
2013,адам,Қызылорда,KZ14,1117.0
2014,адам,Қызылорда,KZ14,1195.0
2015,адам,Қызылорда,KZ14,1338.0
2016,адам,Қызылорда,KZ14,1332.0
2017,адам,Қызылорда,KZ14,102.0
2018,адам,Қызылорда,KZ14,65.0
2010,адам,Маңғыстау,KZ09,15848.0
2011,адам,Маңғыстау,KZ09,16563.0
2012,адам,Маңғыстау,KZ09,16012.0
2013,адам,Маңғыстау,KZ09,15653.0
2014,адам,Маңғыстау,KZ09,15743.0
2015,адам,Маңғыстау,KZ09,13938.0
2016,адам,Маңғыстау,KZ09,426.0
2017,адам,Маңғыстау,KZ09,231.0
2018,адам,Маңғыстау,KZ09,231.0
2010,адам,Оңтүстік Қазақстан,KZ10,8500.0
2011,адам,Оңтүстік Қазақстан,KZ10,1638.0
2012,адам,Оңтүстік Қазақстан,KZ10,874.0
2013,адам,Оңтүстік Қазақстан,KZ10,898.0
2014,адам,Оңтүстік Қазақстан,KZ10,521.0
2015,адам,Оңтүстік Қазақстан,KZ10,585.0
2016,адам,Оңтүстік Қазақстан,KZ10,340.0
2017,адам,Оңтүстік Қазақстан,KZ10,346.0
2010,адам,Павлодар,KZ11,1040.0
2011,адам,Павлодар,KZ11,857.0
2012,адам,Павлодар,KZ11,826.0
2013,адам,Павлодар,KZ11,810.0
2014,адам,Павлодар,KZ11,802.0
2015,адам,Павлодар,KZ11,784.0
2016,адам,Павлодар,KZ11,775.0
2017,адам,Павлодар,KZ11,844.0
2018,адам,Павлодар,KZ11,839.0
2010,адам,Солтүстік Қазақстан,KZ16,497.0
2011,адам,Солтүстік Қазақстан,KZ16,3381.0
2012,адам,Солтүстік Қазақстан,KZ16,3586.0
2013,адам,Солтүстік Қазақстан,KZ16,3915.0
2014,адам,Солтүстік Қазақстан,KZ16,3946.0
2015,адам,Солтүстік Қазақстан,KZ16,1239.0
2016,адам,Солтүстік Қазақстан,KZ16,1347.0
2017,адам,Солтүстік Қазақстан,KZ16,1379.0
2018,адам,Солтүстік Қазақстан,KZ16,1333.0
2018,адам,Түркістан,KZ10,257.0
2010,адам,Шығыс Қазақстан,KZ15,25021.0
2011,адам,Шығыс Қазақстан,KZ15,25250.0
2012,адам,Шығыс Қазақстан,KZ15,16438.0
2013,адам,Шығыс Қазақстан,KZ15,13382.0
