Year,Units,Өңірлер,Value
2015,пайыз,,15.0
2016,пайыз,,20.0
2017,пайыз,,25.0
2018,пайыз,,30.0
2017,пайыз,Ақмола,23.1
2018,пайыз,Ақмола,23.7
2017,пайыз,Ақтөбе,18.2
2018,пайыз,Ақтөбе,27.3
2017,пайыз,Алматы,18.9
2018,пайыз,Алматы,21.6
2017,пайыз,Атырау,34.6
2018,пайыз,Атырау,37.5
2017,пайыз,Батыс Қазақстан,39.5
2018,пайыз,Батыс Қазақстан,40.5
2017,пайыз,Жамбыл,24.0
2018,пайыз,Жамбыл,30.6
2017,пайыз,Қарағанды,28.8
2018,пайыз,Қарағанды,37.1
2017,пайыз,Қостанай,32.5
2018,пайыз,Қостанай,35.9
2017,пайыз,Қызылорда,40.0
2018,пайыз,Қызылорда,41.4
2017,пайыз,Маңғыстау,34.6
2018,пайыз,Маңғыстау,37.0
2017,пайыз,Оңтүстік Қазақстан,11.7
2018,пайыз,Оңтүстік Қазақстан,17.6
2017,пайыз,Павлодар,10.0
2017,пайыз,Солтүстік Қазақстан,56.0
2018,пайыз,Солтүстік Қазақстан,56.0
2018,пайыз,Түркістан,21.2
2017,пайыз,Шығыс Қазақстан,17.9
2018,пайыз,Шығыс Қазақстан,26.4
2017,пайыз,Нұр-Сұлтан қаласы,30.8
2018,пайыз,Нұр-Сұлтан қаласы,30.8
2017,пайыз,Алматы қаласы,29.3
2018,пайыз,Алматы қаласы,33.3
2018,пайыз,Шымкент қаласы,20.7
