Year,Units,Жасы,Value
2012,случаев,до 15 лет,66.0
2012,случаев,15-18 лет,2661.0
2013,случаев,до 15 лет,76.0
2013,случаев,15-18 лет,2027.0
2014,случаев,до 15 лет,34.0
2014,случаев,15-18 лет,1551.0
2015,случаев,до 15 лет,27.0
2015,случаев,15-18 лет,1069.0
2016,случаев,до 15 лет,16.0
2016,случаев,15-18 лет,1418.0
2017,случаев,до 15 лет,19.0
2017,случаев,15-18 лет,1286.0
2018,случаев,до 15 лет,27.0
2018,случаев,15-18 лет,1237.0
2019,случаев,до 15 лет,21.0
2019,случаев,15-18 лет,1147.0
