Year,Units,Виды жертв,Value
2010,адам,зардап шеккен,148.0
2010,адам,100 000 адамға жарақат алғандар,0.9059999999999999
2010,адам,в т.ч. погибло,54.0
2010,адам,100 000 адамға қаза болғандар,0.33
2011,адам,зардап шеккен,12.0
2011,адам,100 000 адамға жарақат алғандар,0.07
2011,адам,в т.ч. погибло,5.0
2011,адам,100 000 адамға қаза болғандар,0.03
2012,адам,зардап шеккен,20.0
2012,адам,100 000 адамға жарақат алғандар,0.11900000000000001
2012,адам,в т.ч. погибло,15.0
2012,адам,100 000 адамға қаза болғандар,0.08900000000000001
2013,адам,зардап шеккен,12.0
2013,адам,100 000 адамға жарақат алғандар,0.07
2013,адам,в т.ч. погибло,3.0
2013,адам,100 000 адамға қаза болғандар,0.0176
2014,адам,зардап шеккен,19.0
2014,адам,100 000 адамға жарақат алғандар,0.109
2014,адам,в т.ч. погибло,9.0
2014,адам,100 000 адамға қаза болғандар,0.52
2015,адам,зардап шеккен,8.0
2015,адам,100 000 адамға жарақат алғандар,0.045
2015,адам,в т.ч. погибло,0.0
2015,адам,100 000 адамға қаза болғандар,0.0
2016,адам,зардап шеккен,8.0
2016,адам,100 000 адамға жарақат алғандар,0.045
2016,адам,в т.ч. погибло,1.0
2016,адам,100 000 адамға қаза болғандар,0.005
2017,адам,зардап шеккен,35.0
2017,адам,100 000 адамға жарақат алғандар,0.19399999999999998
2017,адам,в т.ч. погибло,11.0
2017,адам,100 000 адамға қаза болғандар,0.061
2018,адам,зардап шеккен,8.0
2018,адам,100 000 адамға жарақат алғандар,0.044000000000000004
2018,адам,в т.ч. погибло,1.0
2018,адам,100 000 адамға қаза болғандар,0.005
2019,адам,зардап шеккен,9.0
2019,адам,100 000 адамға жарақат алғандар,0.048
2019,адам,в т.ч. погибло,2.0
2019,адам,100 000 адамға қаза болғандар,0.011000000000000001
