Year,Units,Қорғалатын түрлер,Value
2011,бірлік,,102000.0
2012,бірлік,,137500.0
2013,бірлік,,187000.0
2014,бірлік,,256700.0
2015,бірлік,,295470.0
2016,бірлік,,108300.0
2017,бірлік,,152600.0
2018,бірлік,,215100.0
2011,бірлік,Жайық таралымдары,17900.0
2012,бірлік,Жайық таралымдары,20900.0
2013,бірлік,Жайық таралымдары,26400.0
2014,бірлік,Жайық таралымдары,39000.0
2015,бірлік,Жайық таралымдары,51700.0
2016,бірлік,Жайық таралымдары,70200.0
2017,бірлік,Жайық таралымдары,98200.0
2018,бірлік,Жайық таралымдары,135000.0
2011,бірлік,Үстірт таралымдары,6100.0
2012,бірлік,Үстірт таралымдары,6500.0
2013,бірлік,Үстірт таралымдары,5400.0
2014,бірлік,Үстірт таралымдары,1700.0
2015,бірлік,Үстірт таралымдары,1270.0
2016,бірлік,Үстірт таралымдары,1900.0
2017,бірлік,Үстірт таралымдары,2700.0
2018,бірлік,Үстірт таралымдары,3700.0
2011,бірлік,Бетпақдала таралымдары,78000.0
2012,бірлік,Бетпақдала таралымдары,110100.0
2013,бірлік,Бетпақдала таралымдары,155200.0
2014,бірлік,Бетпақдала таралымдары,216000.0
2015,бірлік,Бетпақдала таралымдары,242000.0
2016,бірлік,Бетпақдала таралымдары,26200.0
2017,бірлік,Бетпақдала таралымдары,51700.0
2018,бірлік,Бетпақдала таралымдары,76400.0
