Year,Units,Өңірлер,GeoCode,Value
2010,2005 жылға пайызбен,,,125.5
2011,2005 жылға пайызбен,,,132.9
2012,2005 жылға пайызбен,,,137.3
2013,2005 жылға пайызбен,,,143.5
2014,2005 жылға пайызбен,,,147.4
2015,2005 жылға пайызбен,,,148.9
2016,2005 жылға пайызбен,,,148.5
2017,2005 жылға пайызбен,,,152.5
2018,2005 жылға пайызбен,,,156.3
2010,2005 жылға пайызбен,Ақмола,KZ03,143.4
2011,2005 жылға пайызбен,Ақмола,KZ03,167.1
2012,2005 жылға пайызбен,Ақмола,KZ03,157.6
2013,2005 жылға пайызбен,Ақмола,KZ03,165.0
2014,2005 жылға пайызбен,Ақмола,KZ03,172.3
2015,2005 жылға пайызбен,Ақмола,KZ03,174.5
2016,2005 жылға пайызбен,Ақмола,KZ03,179.9
2017,2005 жылға пайызбен,Ақмола,KZ03,184.9
2018,2005 жылға пайызбен,Ақмола,KZ03,191.4
2010,2005 жылға пайызбен,Ақтөбе,KZ04,117.1
2011,2005 жылға пайызбен,Ақтөбе,KZ04,123.0
2012,2005 жылға пайызбен,Ақтөбе,KZ04,130.9
2013,2005 жылға пайызбен,Ақтөбе,KZ04,135.1
2014,2005 жылға пайызбен,Ақтөбе,KZ04,138.9
2015,2005 жылға пайызбен,Ақтөбе,KZ04,132.5
2016,2005 жылға пайызбен,Ақтөбе,KZ04,132.0
2017,2005 жылға пайызбен,Ақтөбе,KZ04,136.8
2018,2005 жылға пайызбен,Ақтөбе,KZ04,142.0
2010,2005 жылға пайызбен,Алматы,KZ01,110.4
2011,2005 жылға пайызбен,Алматы,KZ01,118.0
2012,2005 жылға пайызбен,Алматы,KZ01,124.3
2013,2005 жылға пайызбен,Алматы,KZ01,135.0
2014,2005 жылға пайызбен,Алматы,KZ01,146.5
2015,2005 жылға пайызбен,Алматы,KZ01,150.5
2016,2005 жылға пайызбен,Алматы,KZ01,150.8
2017,2005 жылға пайызбен,Алматы,KZ01,154.1
2018,2005 жылға пайызбен,Алматы,KZ01,156.7
2010,2005 жылға пайызбен,Атырау,KZ06,154.5
2011,2005 жылға пайызбен,Атырау,KZ06,156.2
2012,2005 жылға пайызбен,Атырау,KZ06,149.3
2013,2005 жылға пайызбен,Атырау,KZ06,151.8
2014,2005 жылға пайызбен,Атырау,KZ06,152.1
2015,2005 жылға пайызбен,Атырау,KZ06,152.9
2016,2005 жылға пайызбен,Атырау,KZ06,155.2
2017,2005 жылға пайызбен,Атырау,KZ06,176.2
2018,2005 жылға пайызбен,Атырау,KZ06,195.6
2010,2005 жылға пайызбен,Батыс Қазақстан,KZ07,119.1
2011,2005 жылға пайызбен,Батыс Қазақстан,KZ07,123.4
2012,2005 жылға пайызбен,Батыс Қазақстан,KZ07,127.8
2013,2005 жылға пайызбен,Батыс Қазақстан,KZ07,130.7
2014,2005 жылға пайызбен,Батыс Қазақстан,KZ07,136.1
2015,2005 жылға пайызбен,Батыс Қазақстан,KZ07,133.9
2016,2005 жылға пайызбен,Батыс Қазақстан,KZ07,136.2
2017,2005 жылға пайызбен,Батыс Қазақстан,KZ07,139.3
2018,2005 жылға пайызбен,Батыс Қазақстан,KZ07,137.2
2010,2005 жылға пайызбен,Жамбыл,KZ17,126.7
2011,2005 жылға пайызбен,Жамбыл,KZ17,142.0
2012,2005 жылға пайызбен,Жамбыл,KZ17,154.2
2013,2005 жылға пайызбен,Жамбыл,KZ17,157.1
2014,2005 жылға пайызбен,Жамбыл,KZ17,155.7
2015,2005 жылға пайызбен,Жамбыл,KZ17,154.1
2016,2005 жылға пайызбен,Жамбыл,KZ17,156.9
2017,2005 жылға пайызбен,Жамбыл,KZ17,162.2
2018,2005 жылға пайызбен,Жамбыл,KZ17,167.6
2010,2005 жылға пайызбен,Қарағанды,KZ12,117.4
2011,2005 жылға пайызбен,Қарағанды,KZ12,124.0
2012,2005 жылға пайызбен,Қарағанды,KZ12,125.0
2013,2005 жылға пайызбен,Қарағанды,KZ12,133.8
2014,2005 жылға пайызбен,Қарағанды,KZ12,137.3
2015,2005 жылға пайызбен,Қарағанды,KZ12,140.2
2016,2005 жылға пайызбен,Қарағанды,KZ12,143.3
2017,2005 жылға пайызбен,Қарағанды,KZ12,148.9
2018,2005 жылға пайызбен,Қарағанды,KZ12,153.7
2010,2005 жылға пайызбен,Қостанай,KZ13,126.5
2011,2005 жылға пайызбен,Қостанай,KZ13,146.6
2012,2005 жылға пайызбен,Қостанай,KZ13,137.2
2013,2005 жылға пайызбен,Қостанай,KZ13,151.1
2014,2005 жылға пайызбен,Қостанай,KZ13,154.3
2015,2005 жылға пайызбен,Қостанай,KZ13,148.4
2016,2005 жылға пайызбен,Қостанай,KZ13,145.6
2017,2005 жылға пайызбен,Қостанай,KZ13,153.0
2018,2005 жылға пайызбен,Қостанай,KZ13,162.6
