Year,Units,Өңірлер,GeoCode,Value
2010,пайыз,Ақмола,KZ03,44.0
2011,пайыз,Ақмола,KZ03,49.0
2012,пайыз,Ақмола,KZ03,54.0
2013,пайыз,Ақмола,KZ03,60.0
2014,пайыз,Ақмола,KZ03,65.0
2015,пайыз,Ақмола,KZ03,66.0
2016,пайыз,Ақмола,KZ03,66.6
2017,пайыз,Ақмола,KZ03,67.1
2018,пайыз,Ақмола,KZ03,70.3
2013,пайыз,Ақтөбе,KZ04,48.9
2014,пайыз,Ақтөбе,KZ04,44.5
2015,пайыз,Ақтөбе,KZ04,46.3
2016,пайыз,Ақтөбе,KZ04,48.0
2017,пайыз,Ақтөбе,KZ04,49.5
2018,пайыз,Ақтөбе,KZ04,53.0
2010,пайыз,Алматы,KZ01,58.0
2011,пайыз,Алматы,KZ01,60.2
2012,пайыз,Алматы,KZ01,64.0
2013,пайыз,Алматы,KZ01,69.6
2014,пайыз,Алматы,KZ01,74.6
2015,пайыз,Алматы,KZ01,77.6
2016,пайыз,Алматы,KZ01,77.8
2017,пайыз,Алматы,KZ01,78.0
2018,пайыз,Алматы,KZ01,78.1
2010,пайыз,Атырау,KZ06,24.0
2011,пайыз,Атырау,KZ06,30.0
2012,пайыз,Атырау,KZ06,32.0
2013,пайыз,Атырау,KZ06,37.0
2014,пайыз,Атырау,KZ06,42.0
2015,пайыз,Атырау,KZ06,47.0
2016,пайыз,Атырау,KZ06,49.0
2017,пайыз,Атырау,KZ06,51.0
2018,пайыз,Атырау,KZ06,54.0
2013,пайыз,Батыс Қазақстан,KZ07,23.0
2014,пайыз,Батыс Қазақстан,KZ07,24.0
2015,пайыз,Батыс Қазақстан,KZ07,26.0
2016,пайыз,Батыс Қазақстан,KZ07,27.6
2017,пайыз,Батыс Қазақстан,KZ07,28.0
2018,пайыз,Батыс Қазақстан,KZ07,28.7
2014,пайыз,Жамбыл,KZ17,70.0
2015,пайыз,Жамбыл,KZ17,74.0
2016,пайыз,Жамбыл,KZ17,75.5
2017,пайыз,Жамбыл,KZ17,77.0
2018,пайыз,Жамбыл,KZ17,80.1
2010,пайыз,Қарағанды,KZ12,73.0
2011,пайыз,Қарағанды,KZ12,73.0
2012,пайыз,Қарағанды,KZ12,73.0
2013,пайыз,Қарағанды,KZ12,73.5
2014,пайыз,Қарағанды,KZ12,74.0
2015,пайыз,Қарағанды,KZ12,74.5
2016,пайыз,Қарағанды,KZ12,75.0
2017,пайыз,Қарағанды,KZ12,75.5
2018,пайыз,Қарағанды,KZ12,76.0
2010,пайыз,Қостанай,KZ13,50.0
2011,пайыз,Қостанай,KZ13,52.0
