Year,Units,Аймақ,Жынысы,Өңірлер,GeoCode,Value
2010,пайыз,,,,,6.5
2011,пайыз,,,,,5.5
2012,пайыз,,,,,3.8
2013,пайыз,,,,,2.9
2014,пайыз,,,,,2.8
2015,пайыз,,,,,2.7
2016,пайыз,,,,,2.6
2017,пайыз,,,,,2.6
2018,пайыз,,,,,4.3
2010,пайыз,қала,,,,3.7
2011,пайыз,қала,,,,2.5
2012,пайыз,қала,,,,1.9
2013,пайыз,қала,,,,1.3
2014,пайыз,қала,,,,1.3
2015,пайыз,қала,,,,1.3
2016,пайыз,қала,,,,1.3
2017,пайыз,қала,,,,1.2
2018,пайыз,қала,,,,2.5
2010,пайыз,ауыл,,,,10.1
2011,пайыз,ауыл,,,,9.1
2012,пайыз,ауыл,,,,6.1
2013,пайыз,ауыл,,,,4.9
2014,пайыз,ауыл,,,,4.7
2015,пайыз,ауыл,,,,4.4
2016,пайыз,ауыл,,,,4.4
2017,пайыз,ауыл,,,,4.5
2018,пайыз,ауыл,,,,6.7
2010,пайыз,,ерлер,,,6.8
2011,пайыз,,ерлер,,,5.7
2012,пайыз,,ерлер,,,4.0
2013,пайыз,,ерлер,,,3.1
2014,пайыз,,ерлер,,,3.0
2015,пайыз,,ерлер,,,2.7
2016,пайыз,,ерлер,,,2.6
2017,пайыз,,ерлер,,,2.7
2018,пайыз,,ерлер,,,4.4
2010,пайыз,,әйелдер,,,6.3
2011,пайыз,,әйелдер,,,5.3
2012,пайыз,,әйелдер,,,3.7
2013,пайыз,,әйелдер,,,2.7
2014,пайыз,,әйелдер,,,2.0
2015,пайыз,,әйелдер,,,2.6
2016,пайыз,,әйелдер,,,2.5
2017,пайыз,,әйелдер,,,2.6
2018,пайыз,,әйелдер,,,4.2
2010,пайыз,,,Ақмола,KZ03,4.4
2011,пайыз,,,Ақмола,KZ03,6.2
2012,пайыз,,,Ақмола,KZ03,3.9
2013,пайыз,,,Ақмола,KZ03,3.9
2014,пайыз,,,Ақмола,KZ03,2.9
2015,пайыз,,,Ақмола,KZ03,2.9
2016,пайыз,,,Ақмола,KZ03,3.0
