Year,Units,Табыс,Жынысы,Аймақ,Өңірлер,GeoCode,Value
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Ақтөбе,,0.3
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Ақтөбе,,0.4
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Алматы,,0.1
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Алматы,,0.6
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Алматы,,0.6
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Алматы,,0.3
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Алматы,,0.1
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Алматы,,0.1
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Атырау,,0.2
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Батыс Қазақстан,,1.5
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Батыс Қазақстан,,0.8
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Батыс Қазақстан,,0.4
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Батыс Қазақстан,,1.5
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Батыс Қазақстан,,2.5
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Батыс Қазақстан,,1.4
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Батыс Қазақстан,,0.8
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Батыс Қазақстан,,0.1
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Жамбыл,,0.4
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Жамбыл,,2.1
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Жамбыл,,0.5
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Жамбыл,,0.2
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Жамбыл,,0.9
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Жамбыл,,0.8
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Жамбыл,,1.5
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Жамбыл,,0.3
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қарағанды,,3.1
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қарағанды,,2.8
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қарағанды,,3.5
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қарағанды,,2.1
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қарағанды,,3.1
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қарағанды,,1.6
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қарағанды,,1.0
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қарағанды,,0.5
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қостанай,,2.3
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қостанай,,1.4
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қостанай,,1.0
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қостанай,,1.8
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қостанай,,1.5
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қостанай,,1.7
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қостанай,,1.0
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қостанай,,1.3
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қызылорда,,1.0
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қызылорда,,0.5
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қызылорда,,0.1
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қызылорда,,0.9
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қызылорда,,0.1
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Қызылорда,,0.1
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Маңғыстау,,0.2
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Маңғыстау,,0.1
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Маңғыстау,,0.3
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Оңтүстік Қазақстан,,3.5
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Оңтүстік Қазақстан,,2.9
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Павлодар,,3.7
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Павлодар,,3.2
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Павлодар,,0.6
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Павлодар,,0.1
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Павлодар,,1.0
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Павлодар,,1.1
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Павлодар,,0.2
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Павлодар,,0.2
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,5.0
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,3.9
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,2.2
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,1.6
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,2.3
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,1.6
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,1.0
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,0.3
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Түркістан,,1.6
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Түркістан,,0.8
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Түркістан,,0.7
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Түркістан,,1.7
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Түркістан,,0.9
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Түркістан,,0.5
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Шығыс Қазақстан,,4.2
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Шығыс Қазақстан,,1.4
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Шығыс Қазақстан,,1.2
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Шығыс Қазақстан,,2.1
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Шығыс Қазақстан,,0.5
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Шығыс Қазақстан,,2.0
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,ауыл,Шығыс Қазақстан,,0.9
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақмола,,16.2
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақмола,,17.3
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақмола,,14.8
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақмола,,11.8
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақмола,,13.4
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақмола,,13.6
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақмола,,10.4
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақмола,,7.6
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақтөбе,,20.9
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақтөбе,,15.6
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақтөбе,,17.3
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақтөбе,,12.6
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақтөбе,,20.7
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақтөбе,,13.2
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақтөбе,,12.9
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Ақтөбе,,12.6
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Алматы,,6.4
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Алматы,,8.4
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Алматы,,3.5
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Алматы,,4.7
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Алматы,,7.7
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Алматы,,5.0
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Алматы,,6.1
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Алматы,,4.2
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Атырау,,10.7
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Атырау,,8.6
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Атырау,,8.6
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Атырау,,13.5
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Атырау,,15.7
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Атырау,,13.3
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Атырау,,8.1
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Атырау,,7.5
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Батыс Қазақстан,,28.8
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Батыс Қазақстан,,34.8
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Батыс Қазақстан,,30.1
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Батыс Қазақстан,,26.7
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Батыс Қазақстан,,27.6
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Батыс Қазақстан,,22.6
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Батыс Қазақстан,,21.0
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Батыс Қазақстан,,13.8
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Жамбыл,,27.1
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Жамбыл,,41.3
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Жамбыл,,14.8
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Жамбыл,,17.1
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Жамбыл,,36.0
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Жамбыл,,32.3
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Жамбыл,,20.9
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Жамбыл,,14.8
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қарағанды,,22.9
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қарағанды,,25.6
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қарағанды,,21.6
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қарағанды,,16.0
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қарағанды,,18.7
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қарағанды,,13.6
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қарағанды,,14.3
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қарағанды,,7.5
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қостанай,,21.4
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қостанай,,19.0
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қостанай,,14.6
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қостанай,,15.8
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қостанай,,20.1
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қостанай,,18.1
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қостанай,,11.9
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қостанай,,13.7
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қызылорда,,16.6
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қызылорда,,13.0
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қызылорда,,10.1
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қызылорда,,12.0
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қызылорда,,25.7
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қызылорда,,19.4
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қызылорда,,16.6
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Қызылорда,,12.7
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Маңғыстау,,7.3
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Маңғыстау,,6.7
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Маңғыстау,,4.7
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Маңғыстау,,5.3
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Маңғыстау,,6.1
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Маңғыстау,,4.4
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Маңғыстау,,4.9
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Маңғыстау,,6.1
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Оңтүстік Қазақстан,,40.4
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Оңтүстік Қазақстан,,49.0
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Павлодар,,26.3
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Павлодар,,23.7
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Павлодар,,12.1
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Павлодар,,10.5
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Павлодар,,9.6
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Павлодар,,11.4
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Павлодар,,9.2
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Павлодар,,11.6
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,27.5
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,23.4
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,21.1
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,18.7
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,17.8
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,13.6
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,10.8
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Солтүстік Қазақстан,,9.3
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Түркістан,,39.0
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Түркістан,,35.4
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Түркістан,,34.9
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Түркістан,,34.8
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Түркістан,,28.6
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Түркістан,,20.6
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Шығыс Қазақстан,,26.5
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Шығыс Қазақстан,,18.9
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Шығыс Қазақстан,,14.2
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Шығыс Қазақстан,,12.1
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Шығыс Қазақстан,,18.9
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Шығыс Қазақстан,,14.6
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Шығыс Қазақстан,,13.5
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,ауыл,Шығыс Қазақстан,,12.6
