Year,Units,Өңірлер,Жынысы,Аймақ,GeoCode,Value
2013,пайыз,Атырау,,ауыл,,3.2287892512077296
2014,пайыз,Атырау,,ауыл,,4.938735466633268
2015,пайыз,Атырау,,ауыл,,6.790685573045403
2016,пайыз,Атырау,,ауыл,,6.3970399097726505
2017,пайыз,Атырау,,ауыл,,6.33915143781616
2018,пайыз,Атырау,,ауыл,,4.8
2010,пайыз,Батыс Қазақстан,,ауыл,,3.680114855628613
2011,пайыз,Батыс Қазақстан,,ауыл,,5.342159509914931
2012,пайыз,Батыс Қазақстан,,ауыл,,4.738428641432665
2013,пайыз,Батыс Қазақстан,,ауыл,,3.660700119715568
2014,пайыз,Батыс Қазақстан,,ауыл,,4.159380260512855
2015,пайыз,Батыс Қазақстан,,ауыл,,6.225739589221782
2016,пайыз,Батыс Қазақстан,,ауыл,,3.3557310699831033
2017,пайыз,Батыс Қазақстан,,ауыл,,3.1418925511777216
2018,пайыз,Батыс Қазақстан,,ауыл,,3.0
2010,пайыз,Жамбыл,,ауыл,,4.787209615094438
2011,пайыз,Жамбыл,,ауыл,,10.592744090063198
2012,пайыз,Жамбыл,,ауыл,,6.1280161075569115
2013,пайыз,Жамбыл,,ауыл,,5.240755195628841
2014,пайыз,Жамбыл,,ауыл,,11.156079732729433
2015,пайыз,Жамбыл,,ауыл,,11.564548174198999
2016,пайыз,Жамбыл,,ауыл,,11.4762043229621
2017,пайыз,Жамбыл,,ауыл,,9.963015998928595
2018,пайыз,Жамбыл,,ауыл,,5.9
2010,пайыз,Қарағанды,,ауыл,,2.8081353643613656
2011,пайыз,Қарағанды,,ауыл,,10.285608001983963
2012,пайыз,Қарағанды,,ауыл,,9.340647566803094
2013,пайыз,Қарағанды,,ауыл,,4.8129046417206185
2014,пайыз,Қарағанды,,ауыл,,10.732563601750439
2015,пайыз,Қарағанды,,ауыл,,14.27082557879848
2016,пайыз,Қарағанды,,ауыл,,14.762882915066536
2017,пайыз,Қарағанды,,ауыл,,9.752601732411042
2018,пайыз,Қарағанды,,ауыл,,9.1
2010,пайыз,Қостанай,,ауыл,,2.6238501607004316
2011,пайыз,Қостанай,,ауыл,,4.664584877461999
2012,пайыз,Қостанай,,ауыл,,4.155989005882119
2013,пайыз,Қостанай,,ауыл,,3.7638092691324174
2014,пайыз,Қостанай,,ауыл,,4.441081306752948
2015,пайыз,Қостанай,,ауыл,,7.641507731726241
2016,пайыз,Қостанай,,ауыл,,3.5852413366336635
2017,пайыз,Қостанай,,ауыл,,3.7068328228957648
2018,пайыз,Қостанай,,ауыл,,4.0
2010,пайыз,Қызылорда,,ауыл,,3.222213244375701
2011,пайыз,Қызылорда,,ауыл,,11.973872273352658
2012,пайыз,Қызылорда,,ауыл,,9.562578459213396
2013,пайыз,Қызылорда,,ауыл,,10.061779184737892
2014,пайыз,Қызылорда,,ауыл,,11.358145307157097
2015,пайыз,Қызылорда,,ауыл,,7.856661109909267
2016,пайыз,Қызылорда,,ауыл,,9.707747924308434
2017,пайыз,Қызылорда,,ауыл,,6.884254372200508
2018,пайыз,Қызылорда,,ауыл,,4.3
2010,пайыз,Маңғыстау,,ауыл,,3.933128511721885
2011,пайыз,Маңғыстау,,ауыл,,16.898139117543792
2012,пайыз,Маңғыстау,,ауыл,,18.519087487518238
2013,пайыз,Маңғыстау,,ауыл,,9.46450809464508
2014,пайыз,Маңғыстау,,ауыл,,18.56288736558551
2015,пайыз,Маңғыстау,,ауыл,,13.291588664385776
2016,пайыз,Маңғыстау,,ауыл,,13.798856053384176
2017,пайыз,Маңғыстау,,ауыл,,7.060552341854824
2018,пайыз,Маңғыстау,,ауыл,,6.6
2010,пайыз,Оңтүстік Қазақстан,,ауыл,,1.8635417296218104
2011,пайыз,Оңтүстік Қазақстан,,ауыл,,7.987477890902937
2012,пайыз,Оңтүстік Қазақстан,,ауыл,,2.970646879180233
2013,пайыз,Оңтүстік Қазақстан,,ауыл,,1.9048284644892763
2014,пайыз,Оңтүстік Қазақстан,,ауыл,,7.849677562819657
2015,пайыз,Оңтүстік Қазақстан,,ауыл,,11.459035967907493
2016,пайыз,Оңтүстік Қазақстан,,ауыл,,12.28849737888233
2017,пайыз,Оңтүстік Қазақстан,,ауыл,,13.198160098077414
2010,пайыз,Павлодар,,ауыл,,1.0878052008204857
2011,пайыз,Павлодар,,ауыл,,2.616419399478647
2012,пайыз,Павлодар,,ауыл,,2.186356662339195
2013,пайыз,Павлодар,,ауыл,,2.106847253574116
2014,пайыз,Павлодар,,ауыл,,1.9552965533105853
2015,пайыз,Павлодар,,ауыл,,12.691397000789268
2016,пайыз,Павлодар,,ауыл,,13.408627717391305
2017,пайыз,Павлодар,,ауыл,,11.2744140625
2018,пайыз,Павлодар,,ауыл,,10.0
2010,пайыз,Солтүстік Қазақстан,,ауыл,,2.6889637056494875
2011,пайыз,Солтүстік Қазақстан,,ауыл,,6.079942438414784
2012,пайыз,Солтүстік Қазақстан,,ауыл,,5.5572879543834635
2013,пайыз,Солтүстік Қазақстан,,ауыл,,7.603972687771572
2014,пайыз,Солтүстік Қазақстан,,ауыл,,6.0909829807147595
2015,пайыз,Солтүстік Қазақстан,,ауыл,,5.805026816699969
2016,пайыз,Солтүстік Қазақстан,,ауыл,,7.792924375202856
2017,пайыз,Солтүстік Қазақстан,,ауыл,,5.3217346808238455
2018,пайыз,Солтүстік Қазақстан,,ауыл,,6.5
2010,пайыз,Шығыс Қазақстан,,ауыл,,6.817588310052867
2011,пайыз,Шығыс Қазақстан,,ауыл,,8.649688224191893
2012,пайыз,Шығыс Қазақстан,,ауыл,,8.183880933762357
2013,пайыз,Шығыс Қазақстан,,ауыл,,11.496458087367179
2014,пайыз,Шығыс Қазақстан,,ауыл,,7.044205275070442
2015,пайыз,Шығыс Қазақстан,,ауыл,,9.694745463709678
2016,пайыз,Шығыс Қазақстан,,ауыл,,8.341928829293451
2017,пайыз,Шығыс Қазақстан,,ауыл,,8.392722394566949
2018,пайыз,Шығыс Қазақстан,,ауыл,,11.2
2018,пайыз,Түркістан,,ауыл,,6.0
