Year,Units,Value
2010,100 000 адамға,2.62
2011,100 000 адамға,1.76
2012,100 000 адамға,1.24
2013,100 000 адамға,1.01
2014,100 000 адамға,0.77
2015,100 000 адамға,0.95
2016,100 000 адамға,0.54
2017,100 000 адамға,0.54
2018,100 000 адамға,0.58
2019,100 000 адамға,0.6
