Year,Units,Өңірлер,Аймақ,GeoCode,Value
2012,пайыз,,,,3.51
2013,пайыз,,,,3.69
2014,пайыз,,,,3.43
2015,пайыз,,,,3.4
2016,пайыз,,,,3.04
2017,пайыз,,,,2.63
2018,пайыз,,,,3.0
2012,пайыз,Ақмола,,KZ03,4.95
2013,пайыз,Ақмола,,KZ03,4.93
2014,пайыз,Ақмола,,KZ03,4.92
2015,пайыз,Ақмола,,KZ03,4.9
2016,пайыз,Ақмола,,KZ03,4.92
2017,пайыз,Ақмола,,KZ03,3.29
2018,пайыз,Ақмола,,KZ03,2.88
2012,пайыз,Ақтөбе,,KZ04,1.87
2013,пайыз,Ақтөбе,,KZ04,5.94
2014,пайыз,Ақтөбе,,KZ04,5.87
2015,пайыз,Ақтөбе,,KZ04,5.83
2016,пайыз,Ақтөбе,,KZ04,5.8
2017,пайыз,Ақтөбе,,KZ04,5.77
2018,пайыз,Ақтөбе,,KZ04,5.74
2012,пайыз,Алматы,,KZ01,6.19
2013,пайыз,Алматы,,KZ01,6.18
2014,пайыз,Алматы,,KZ01,6.38
2015,пайыз,Алматы,,KZ01,6.52
2016,пайыз,Алматы,,KZ01,5.48
2017,пайыз,Алматы,,KZ01,1.87
2018,пайыз,Алматы,,KZ01,2.08
2012,пайыз,Атырау,,KZ06,1.54
2013,пайыз,Атырау,,KZ06,1.63
2014,пайыз,Атырау,,KZ06,1.61
2015,пайыз,Атырау,,KZ06,1.82
2016,пайыз,Атырау,,KZ06,1.78
2017,пайыз,Атырау,,KZ06,1.78
2018,пайыз,Атырау,,KZ06,1.76
2012,пайыз,Батыс Қазақстан,,KZ07,6.38
2013,пайыз,Батыс Қазақстан,,KZ07,6.18
2014,пайыз,Батыс Қазақстан,,KZ07,6.16
2015,пайыз,Батыс Қазақстан,,KZ07,6.15
2016,пайыз,Батыс Қазақстан,,KZ07,6.17
2017,пайыз,Батыс Қазақстан,,KZ07,5.31
2018,пайыз,Батыс Қазақстан,,KZ07,6.19
2012,пайыз,Жамбыл,,KZ17,1.93
2013,пайыз,Жамбыл,,KZ17,1.63
2014,пайыз,Жамбыл,,KZ17,1.5
2015,пайыз,Жамбыл,,KZ17,1.61
2016,пайыз,Жамбыл,,KZ17,1.6
2017,пайыз,Жамбыл,,KZ17,1.53
2018,пайыз,Жамбыл,,KZ17,1.32
2012,пайыз,Қарағанды,,KZ12,4.32
2013,пайыз,Қарағанды,,KZ12,4.31
2014,пайыз,Қарағанды,,KZ12,4.14
2015,пайыз,Қарағанды,,KZ12,4.15
2016,пайыз,Қарағанды,,KZ12,4.16
2017,пайыз,Қарағанды,,KZ12,4.08
2018,пайыз,Қарағанды,,KZ12,4.12
2012,пайыз,Қостанай,,KZ13,12.09
2013,пайыз,Қостанай,,KZ13,12.09
2014,пайыз,Қостанай,,KZ13,12.1
2015,пайыз,Қостанай,,KZ13,12.1
2016,пайыз,Қостанай,,KZ13,12.16
2017,пайыз,Қостанай,,KZ13,12.25
2018,пайыз,Қостанай,,KZ13,12.04
2012,пайыз,Қызылорда,,KZ14,0.2
2013,пайыз,Қызылорда,,KZ14,0.2
2014,пайыз,Қызылорда,,KZ14,0.2
2015,пайыз,Қызылорда,,KZ14,0.19
2016,пайыз,Қызылорда,,KZ14,0.19
2017,пайыз,Қызылорда,,KZ14,0.19
2018,пайыз,Қызылорда,,KZ14,0.19
2012,пайыз,Маңғыстау,,KZ09,0.03
2013,пайыз,Маңғыстау,,KZ09,0.03
2014,пайыз,Маңғыстау,,KZ09,0.01
2015,пайыз,Маңғыстау,,KZ09,0.02
2016,пайыз,Маңғыстау,,KZ09,0.01
2017,пайыз,Маңғыстау,,KZ09,0.02
2018,пайыз,Маңғыстау,,KZ09,0.01
2012,пайыз,Түркістан,,KZ10,0.85
2013,пайыз,Түркістан,,KZ10,0.87
2014,пайыз,Түркістан,,KZ10,1.16
2015,пайыз,Түркістан,,KZ10,0.88
2016,пайыз,Түркістан,,KZ10,0.97
2017,пайыз,Түркістан,,KZ10,1.03
2018,пайыз,Түркістан,,KZ10,2.69
