Year,Units,Қамтамасыз етілген мектептер,Аймақ,Өңірлер,Value
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Ақтөбе,96.8
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Алматы,93.4
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Алматы,96.2
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Алматы,96.3
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Атырау,80.0
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Атырау,85.5
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Атырау,91.8
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Батыс Қазақстан,90.0
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Батыс Қазақстан,91.7
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Батыс Қазақстан,95.9
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Жамбыл,94.8
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Жамбыл,98.0
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Жамбыл,98.0
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Қарағанды,86.8
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Қарағанды,94.5
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Қарағанды,95.3
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Қостанай,88.8
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Қостанай,94.9
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Қостанай,95.9
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Қызылорда,86.3
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Қызылорда,86.7
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Қызылорда,92.0
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Маңғыстау,94.6
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Маңғыстау,94.7
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Маңғыстау,94.7
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Оңтүстік Қазақстан,78.6
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Оңтүстік Қазақстан,87.4
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Оңтүстік Қазақстан,97.8
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Павлодар,95.8
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Павлодар,96.8
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Солтүстік Қазақстан,96.8
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Солтүстік Қазақстан,98.4
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Солтүстік Қазақстан,98.4
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Түркістан,86.6
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Шығыс Қазақстан,91.0
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Шығыс Қазақстан,93.9
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Шығыс Қазақстан,94.0
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Нұр-Сұлтан қаласы,78.1
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Нұр-Сұлтан қаласы,87.6
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Нұр-Сұлтан қаласы,97.3
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Алматы қаласы,88.4
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Алматы қаласы,94.5
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Алматы қаласы,97.5
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,городская местность,Шымкент қаласы,95.5
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,,76.1
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,,83.2
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,,87.9
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Ақмола,82.4
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Ақмола,84.4
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Ақмола,93.3
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Ақтөбе,63.0
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Ақтөбе,72.3
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Ақтөбе,88.9
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Алматы,84.9
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Алматы,91.1
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Алматы,91.1
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Атырау,72.4
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Атырау,78.9
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Атырау,86.2
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Батыс Қазақстан,75.2
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Батыс Қазақстан,87.2
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Батыс Қазақстан,85.2
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Жамбыл,94.8
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Жамбыл,94.8
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Жамбыл,99.7
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Қарағанды,69.3
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Қарағанды,78.6
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Қарағанды,80.4
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Қостанай,70.6
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Қостанай,76.3
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Қостанай,87.3
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Қызылорда,75.3
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Қызылорда,80.9
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Қызылорда,87.7
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Маңғыстау,84.5
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Маңғыстау,86.6
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Маңғыстау,97.1
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Оңтүстік Қазақстан,69.3
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Оңтүстік Қазақстан,77.1
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Оңтүстік Қазақстан,99.3
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Павлодар,97.0
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Павлодар,99.7
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Солтүстік Қазақстан,78.1
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Солтүстік Қазақстан,85.8
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Солтүстік Қазақстан,87.5
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Түркістан,79.5
2016,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Шығыс Қазақстан,59.3
2017,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Шығыс Қазақстан,76.0
2018,пайыз,Оқу мақсаттары үшін Интернетке қол жетімділікпен,сельская местность,Шығыс Қазақстан,82.2
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,,98.1
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,,98.5
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,,99.1
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Ақмола,98.1
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Ақмола,99.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Ақмола,99.3
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Ақтөбе,97.2
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Ақтөбе,97.9
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Ақтөбе,99.3
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Алматы,99.1
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Алматы,99.5
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Алматы,99.9
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Атырау,99.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Атырау,99.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Атырау,99.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Батыс Қазақстан,99.2
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Батыс Қазақстан,99.5
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Батыс Қазақстан,99.7
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Жамбыл,100.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Жамбыл,99.8
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Жамбыл,99.6
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Қарағанды,99.1
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Қарағанды,99.3
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Қарағанды,99.4
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Қостанай,92.1
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Қостанай,94.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Қостанай,98.5
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Қызылорда,98.4
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Қызылорда,98.4
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Қызылорда,98.1
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Маңғыстау,98.7
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Маңғыстау,98.1
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Маңғыстау,99.4
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Оңтүстік Қазақстан,97.1
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Оңтүстік Қазақстан,97.1
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Павлодар,100.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Павлодар,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Павлодар,100.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Солтүстік Қазақстан,98.5
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Солтүстік Қазақстан,99.4
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Солтүстік Қазақстан,99.6
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Түркістан,97.2
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Шығыс Қазақстан,98.8
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Шығыс Қазақстан,99.1
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Шығыс Қазақстан,99.4
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Нұр-Сұлтан қаласы,100.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Нұр-Сұлтан қаласы,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Нұр-Сұлтан қаласы,100.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,,Алматы қаласы,99.6
2017,пайыз,оқу мақсаттары үшін компьютерлермен,,Алматы қаласы,99.6
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Алматы қаласы,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,,Шымкент қаласы,98.7
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,,98.6
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,,98.6
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,,99.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Ақмола,94.9
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Ақмола,96.9
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Ақмола,97.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Ақтөбе,99.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Ақтөбе,98.1
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Ақтөбе,98.4
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Алматы,100.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Алматы,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Алматы,100.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Атырау,98.5
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Атырау,98.6
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Атырау,98.6
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Батыс Қазақстан,97.1
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Батыс Қазақстан,97.2
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Батыс Қазақстан,100.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Жамбыл,100.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Жамбыл,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Жамбыл,99.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Қарағанды,99.6
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Қарағанды,98.7
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Қарағанды,99.6
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Қостанай,99.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Қостанай,99.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Қостанай,99.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Қызылорда,100.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Қызылорда,97.3
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Қызылорда,98.7
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Маңғыстау,100.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Маңғыстау,98.2
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Маңғыстау,100.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Оңтүстік Қазақстан,95.6
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Оңтүстік Қазақстан,96.8
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Павлодар,100.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Павлодар,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Павлодар,100.0
