Year,Units,Қамтамасыз етілген мектептер,Аймақ,Өңірлер,Value
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Павлодар,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Павлодар,100.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Солтүстік Қазақстан,98.3
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Солтүстік Қазақстан,99.3
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Солтүстік Қазақстан,99.5
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Түркістан,97.6
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Шығыс Қазақстан,99.2
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Шығыс Қазақстан,99.4
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Шығыс Қазақстан,99.6
2015,пайыз,базалық ауыз су көздерімен,,,100.0
2016,пайыз,базалық ауыз су көздерімен,,,100.0
2017,пайыз,базалық ауыз су көздерімен,,,100.0
2018,пайыз,базалық ауыз су көздерімен,,,100.0
2015,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Ақмола,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Ақмола,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Ақмола,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Ақтөбе,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Ақтөбе,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Ақтөбе,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Алматы,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Алматы,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Алматы,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Атырау,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Атырау,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Атырау,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Батыс Қазақстан,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Батыс Қазақстан,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Батыс Қазақстан,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Жамбыл,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Жамбыл,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Жамбыл,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қарағанды,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қарағанды,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қарағанды,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қостанай,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қостанай,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қостанай,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қызылорда,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қызылорда,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Қызылорда,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Маңғыстау,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Маңғыстау,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Маңғыстау,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Оңтүстік Қазақстан,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Оңтүстік Қазақстан,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Павлодар,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Павлодар,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Павлодар,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Солтүстік Қазақстан,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Солтүстік Қазақстан,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Солтүстік Қазақстан,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Түркістан,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Шығыс Қазақстан,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Шығыс Қазақстан,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Шығыс Қазақстан,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Нұр-Сұлтан қаласы,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Нұр-Сұлтан қаласы,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Нұр-Сұлтан қаласы,100.0
2016,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Алматы қаласы,100.0
2017,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Алматы қаласы,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Алматы қаласы,100.0
2018,пайыз,ең қарапайым деңгейде бөлек дәретханалармен,,Шымкент қаласы,100.0
