Year,Units,Өңірлер,GeoCode,Value
2010,2010 жылғы бағаларда пайызбен,,,11.3
2011,2010 жылғы бағаларда пайызбен,,,11.3
2012,2010 жылғы бағаларда пайызбен,,,11.1
2013,2010 жылғы бағаларда пайызбен,,,10.8
2014,2010 жылғы бағаларда пайызбен,,,10.5
2015,2010 жылғы бағаларда пайызбен,,,10.4
2016,2010 жылғы бағаларда пайызбен,,,10.5
2017,2010 жылғы бағаларда пайызбен,,,11.3
2018,2010 жылғы бағаларда пайызбен,,,11.4
2010,2010 жылғы бағаларда пайызбен,Ақмола,KZ03,13.4
2011,2010 жылғы бағаларда пайызбен,Ақмола,KZ03,13.0
2012,2010 жылғы бағаларда пайызбен,Ақмола,KZ03,14.1
2013,2010 жылғы бағаларда пайызбен,Ақмола,KZ03,13.4
2014,2010 жылғы бағаларда пайызбен,Ақмола,KZ03,14.0
2015,2010 жылғы бағаларда пайызбен,Ақмола,KZ03,14.8
2016,2010 жылғы бағаларда пайызбен,Ақмола,KZ03,14.8
2017,2010 жылғы бағаларда пайызбен,Ақмола,KZ03,18.9
2018,2010 жылғы бағаларда пайызбен,Ақмола,KZ03,20.4
2010,2010 жылғы бағаларда пайызбен,Ақтөбе,KZ04,7.9
2011,2010 жылғы бағаларда пайызбен,Ақтөбе,KZ04,8.0
2012,2010 жылғы бағаларда пайызбен,Ақтөбе,KZ04,7.6
2013,2010 жылғы бағаларда пайызбен,Ақтөбе,KZ04,7.9
2014,2010 жылғы бағаларда пайызбен,Ақтөбе,KZ04,7.6
2015,2010 жылғы бағаларда пайызбен,Ақтөбе,KZ04,7.8
2016,2010 жылғы бағаларда пайызбен,Ақтөбе,KZ04,8.9
2017,2010 жылғы бағаларда пайызбен,Ақтөбе,KZ04,11.4
2018,2010 жылғы бағаларда пайызбен,Ақтөбе,KZ04,12.0
2010,2010 жылғы бағаларда пайызбен,Алматы,KZ01,17.0
2011,2010 жылғы бағаларда пайызбен,Алматы,KZ01,17.6
2012,2010 жылғы бағаларда пайызбен,Алматы,KZ01,16.5
2013,2010 жылғы бағаларда пайызбен,Алматы,KZ01,15.2
2014,2010 жылғы бағаларда пайызбен,Алматы,KZ01,15.0
2015,2010 жылғы бағаларда пайызбен,Алматы,KZ01,14.9
2016,2010 жылғы бағаларда пайызбен,Алматы,KZ01,14.1
2017,2010 жылғы бағаларда пайызбен,Алматы,KZ01,21.2
2018,2010 жылғы бағаларда пайызбен,Алматы,KZ01,22.6
2010,2010 жылғы бағаларда пайызбен,Атырау,KZ06,5.5
2011,2010 жылғы бағаларда пайызбен,Атырау,KZ06,5.3
2012,2010 жылғы бағаларда пайызбен,Атырау,KZ06,5.2
2013,2010 жылғы бағаларда пайызбен,Атырау,KZ06,5.2
2014,2010 жылғы бағаларда пайызбен,Атырау,KZ06,5.3
2015,2010 жылғы бағаларда пайызбен,Атырау,KZ06,5.1
2016,2010 жылғы бағаларда пайызбен,Атырау,KZ06,5.1
2017,2010 жылғы бағаларда пайызбен,Атырау,KZ06,4.5
