Year,Units,Өңірлер,GeoCode,Value
2010,өткен жылға пайызбен,,,103.7
2011,өткен жылға пайызбен,,,105.0
2012,өткен жылға пайызбен,,,102.5
2013,өткен жылға пайызбен,,,105.1
2014,өткен жылға пайызбен,,,104.6
2015,өткен жылға пайызбен,,,100.6
2016,өткен жылға пайызбен,,,100.2
2017,өткен жылға пайызбен,,,104.4
2018,өткен жылға пайызбен,,,103.4
2011,өткен жылға пайызбен,Ақмола,KZ03,115.1
2012,өткен жылға пайызбен,Ақмола,KZ03,94.6
2013,өткен жылға пайызбен,Ақмола,KZ03,104.1
2014,өткен жылға пайызбен,Ақмола,KZ03,103.7
2015,өткен жылға пайызбен,Ақмола,KZ03,102.3
2016,өткен жылға пайызбен,Ақмола,KZ03,101.7
2017,өткен жылға пайызбен,Ақмола,KZ03,105.9
2018,өткен жылға пайызбен,Ақмола,KZ03,103.0
2011,өткен жылға пайызбен,Ақтөбе,KZ04,101.8
2012,өткен жылға пайызбен,Ақтөбе,KZ04,104.7
2013,өткен жылға пайызбен,Ақтөбе,KZ04,103.7
2014,өткен жылға пайызбен,Ақтөбе,KZ04,104.8
2015,өткен жылға пайызбен,Ақтөбе,KZ04,95.0
2016,өткен жылға пайызбен,Ақтөбе,KZ04,102.4
2017,өткен жылға пайызбен,Ақтөбе,KZ04,106.3
2018,өткен жылға пайызбен,Ақтөбе,KZ04,104.1
2011,өткен жылға пайызбен,Алматы,KZ01,102.3
2012,өткен жылға пайызбен,Алматы,KZ01,100.0
2013,өткен жылға пайызбен,Алматы,KZ01,108.1
2014,өткен жылға пайызбен,Алматы,KZ01,102.9
2015,өткен жылға пайызбен,Алматы,KZ01,108.0
2016,өткен жылға пайызбен,Алматы,KZ01,99.5
2017,өткен жылға пайызбен,Алматы,KZ01,103.7
2018,өткен жылға пайызбен,Алматы,KZ01,103.5
2011,өткен жылға пайызбен,Атырау,KZ06,97.8
2012,өткен жылға пайызбен,Атырау,KZ06,94.7
2013,өткен жылға пайызбен,Атырау,KZ06,102.1
2014,өткен жылға пайызбен,Атырау,KZ06,99.3
2015,өткен жылға пайызбен,Атырау,KZ06,100.9
2016,өткен жылға пайызбен,Атырау,KZ06,104.0
2017,өткен жылға пайызбен,Атырау,KZ06,116.4
2018,өткен жылға пайызбен,Атырау,KZ06,108.6
2011,өткен жылға пайызбен,Батыс Қазақстан,KZ07,104.0
2012,өткен жылға пайызбен,Батыс Қазақстан,KZ07,105.1
2013,өткен жылға пайызбен,Батыс Қазақстан,KZ07,102.3
2014,өткен жылға пайызбен,Батыс Қазақстан,KZ07,104.8
2015,өткен жылға пайызбен,Батыс Қазақстан,KZ07,99.7
2016,өткен жылға пайызбен,Батыс Қазақстан,KZ07,101.9
2017,өткен жылға пайызбен,Батыс Қазақстан,KZ07,103.4
2018,өткен жылға пайызбен,Батыс Қазақстан,KZ07,97.9
2011,өткен жылға пайызбен,Жамбыл,KZ17,112.4
2012,өткен жылға пайызбен,Жамбыл,KZ17,110.0
2013,өткен жылға пайызбен,Жамбыл,KZ17,104.6
2014,өткен жылға пайызбен,Жамбыл,KZ17,104.0
2015,өткен жылға пайызбен,Жамбыл,KZ17,104.1
2016,өткен жылға пайызбен,Жамбыл,KZ17,103.1
2017,өткен жылға пайызбен,Жамбыл,KZ17,104.7
2018,өткен жылға пайызбен,Жамбыл,KZ17,102.5
2011,өткен жылға пайызбен,Қарағанды,KZ12,106.5
2012,өткен жылға пайызбен,Қарағанды,KZ12,100.9
2013,өткен жылға пайызбен,Қарағанды,KZ12,106.7
2014,өткен жылға пайызбен,Қарағанды,KZ12,107.3
2015,өткен жылға пайызбен,Қарағанды,KZ12,101.2
2016,өткен жылға пайызбен,Қарағанды,KZ12,103.3
2017,өткен жылға пайызбен,Қарағанды,KZ12,107.9
2018,өткен жылға пайызбен,Қарағанды,KZ12,103.0
2011,өткен жылға пайызбен,Қостанай,KZ13,116.0
2012,өткен жылға пайызбен,Қостанай,KZ13,93.5
2013,өткен жылға пайызбен,Қостанай,KZ13,111.9
2014,өткен жылға пайызбен,Қостанай,KZ13,103.9
2015,өткен жылға пайызбен,Қостанай,KZ13,96.6
2016,өткен жылға пайызбен,Қостанай,KZ13,97.2
2017,өткен жылға пайызбен,Қостанай,KZ13,107.7
2018,өткен жылға пайызбен,Қостанай,KZ13,109.8
2011,өткен жылға пайызбен,Қызылорда,KZ14,99.0
2012,өткен жылға пайызбен,Қызылорда,KZ14,100.9
2013,өткен жылға пайызбен,Қызылорда,KZ14,101.9
2014,өткен жылға пайызбен,Қызылорда,KZ14,104.5
2015,өткен жылға пайызбен,Қызылорда,KZ14,97.1
2016,өткен жылға пайызбен,Қызылорда,KZ14,88.7
2017,өткен жылға пайызбен,Қызылорда,KZ14,96.7
2018,өткен жылға пайызбен,Қызылорда,KZ14,99.2
2011,өткен жылға пайызбен,Маңғыстау,KZ09,89.3
2012,өткен жылға пайызбен,Маңғыстау,KZ09,90.0
2013,өткен жылға пайызбен,Маңғыстау,KZ09,103.7
2014,өткен жылға пайызбен,Маңғыстау,KZ09,107.8
2015,өткен жылға пайызбен,Маңғыстау,KZ09,90.8
