Year,Units,Жасы,Дағдылардың түрлері,Өңірлер,Value
2015,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,,13.2
2016,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,,37.1
2017,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,,35.6
2018,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,,37.7
2015,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,,19.5
2016,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,,19.8
2017,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,,19.5
2018,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,,22.2
2015,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",,45.2
2016,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",,56.1
2017,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",,67.1
2018,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",,74.2
2015,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),,37.2
2016,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),,48.4
2017,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),,48.3
2018,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),,70.7
2015,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",,13.2
2016,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",,19.1
2017,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",,19.2
2018,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",,22.1
2015,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",,14.7
2016,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",,16.7
2017,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",,20.5
2018,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",,24.0
2015,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",,20.0
2016,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",,28.5
2017,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",,28.0
2018,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",,29.7
2015,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,,19.5
2016,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,,25.1
2017,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,,23.5
2018,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,,26.9
2015,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,,3.5
2016,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,,6.9
2017,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,,6.3
2018,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,,8.5
2015,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Ақмола,21.7
2016,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Ақмола,61.0
2017,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Ақмола,66.8
2018,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Ақмола,67.9
2015,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Ақмола,20.5
2016,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Ақмола,28.8
2017,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Ақмола,36.2
2018,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Ақмола,37.0
2015,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Ақмола,46.1
2016,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Ақмола,61.3
2017,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Ақмола,67.2
2018,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Ақмола,92.6
2015,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Ақмола,50.3
2016,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Ақмола,65.9
2017,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Ақмола,50.4
2018,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Ақмола,90.0
2015,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақмола,30.4
2016,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақмола,26.3
2017,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақмола,32.1
2018,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақмола,37.6
2015,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақмола,22.0
2016,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақмола,22.0
2017,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақмола,20.0
2018,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақмола,24.4
2015,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақмола,32.2
2016,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақмола,47.9
2017,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақмола,48.2
2018,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақмола,49.0
2015,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақмола,34.9
2016,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақмола,48.0
2017,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақмола,49.4
2018,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақмола,57.7
2015,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақмола,3.7
2016,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақмола,3.7
2017,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақмола,5.6
2018,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақмола,6.2
2015,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Ақтөбе,14.6
2016,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Ақтөбе,48.8
2017,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Ақтөбе,48.7
2018,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Ақтөбе,51.3
2015,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Ақтөбе,16.9
2016,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Ақтөбе,17.2
2017,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Ақтөбе,18.7
2018,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Ақтөбе,21.8
2015,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Ақтөбе,50.2
2016,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Ақтөбе,67.8
2017,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Ақтөбе,88.6
2018,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Ақтөбе,90.2
2015,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Ақтөбе,36.4
2016,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Ақтөбе,48.7
2017,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Ақтөбе,49.1
2018,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Ақтөбе,92.3
2015,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақтөбе,14.0
2016,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақтөбе,19.8
2017,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақтөбе,30.7
2018,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Ақтөбе,37.1
2015,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақтөбе,16.4
2016,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақтөбе,20.1
2017,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақтөбе,23.5
2018,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Ақтөбе,27.1
2015,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақтөбе,18.8
2016,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақтөбе,34.5
2017,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақтөбе,31.0
2018,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Ақтөбе,47.1
2015,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақтөбе,21.0
2016,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақтөбе,24.3
2017,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақтөбе,38.2
2018,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Ақтөбе,42.9
2015,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақтөбе,1.5
2016,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақтөбе,4.7
2017,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақтөбе,7.9
2018,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Ақтөбе,10.4
2015,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Алматы,10.1
2016,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Алматы,25.4
2017,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Алматы,30.0
2018,пайыз,15-24 жас аралығында,Файлды немесе  папканы көшіру немесе жіберу,Алматы,27.7
2015,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Алматы,20.4
2016,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Алматы,17.9
2017,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Алматы,17.7
2018,пайыз,15-24 жас аралығында,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Алматы,16.7
2015,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Алматы,40.3
2016,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Алматы,56.8
2017,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Алматы,71.9
2018,пайыз,15-24 жас аралығында,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Алматы,83.2
2015,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Алматы,31.4
2016,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Алматы,45.6
2017,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Алматы,43.9
2018,пайыз,15-24 жас аралығында,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Алматы,75.0
2015,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Алматы,7.6
2016,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Алматы,22.1
2017,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Алматы,21.5
2018,пайыз,15-24 жас аралығында,"Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)",Алматы,20.8
2015,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Алматы,10.7
2016,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Алматы,8.0
2017,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Алматы,18.0
2018,пайыз,15-24 жас аралығында,"Іздеу, бағдарламалық қамтамасыз етуді жүктеу және орнату",Алматы,11.0
2015,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Алматы,9.5
2016,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Алматы,30.2
2017,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Алматы,17.6
2018,пайыз,15-24 жас аралығында,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Алматы,15.9
2015,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Алматы,21.1
2016,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Алматы,10.7
2017,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Алматы,10.9
2018,пайыз,15-24 жас аралығында,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Алматы,10.5
2015,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Алматы,1.9
2016,пайыз,15-24 жас аралығында,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Алматы,1.9
