Year,Units,Ресми даму бойынша көмек,Value
2014,млн.АҚШ доллар,,0.02
2015,млн.АҚШ доллар,,0.02
2016,млн.АҚШ доллар,,0.03
2017,млн.АҚШ доллар,,0.02
2015,млн.АҚШ доллар,Қазақстан-донор,42.772842
2016,млн.АҚШ доллар,Қазақстан-донор,30.83
2017,млн.АҚШ доллар,Қазақстан-донор,34.64443
