Year,Units,Көлік түрлері,Өңірлер,GeoCode,Value
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,,,2439.4
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,,,2974.9
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,,,3231.8
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,,,3508.0
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,,,3749.8
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,,,3733.8
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,,,3729.2
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,,,3946.1
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,,,4103.8
2010,млн.тонна,Құбыр жүргізетін көлікпен,,,194.0
2011,млн.тонна,Құбыр жүргізетін көлікпен,,,214.1
2012,млн.тонна,Құбыр жүргізетін көлікпен,,,213.2
2013,млн.тонна,Құбыр жүргізетін көлікпен,,,225.9
2014,млн.тонна,Құбыр жүргізетін көлікпен,,,225.0
2015,млн.тонна,Құбыр жүргізетін көлікпен,,,214.6
2016,млн.тонна,Құбыр жүргізетін көлікпен,,,205.8
2017,млн.тонна,Құбыр жүргізетін көлікпен,,,232.8
2018,млн.тонна,Құбыр жүргізетін көлікпен,,,281.4
2010,млн.тонна,Темір жол көлігі,,,267.9
2011,млн.тонна,Темір жол көлігі,,,279.7
2012,млн.тонна,Темір жол көлігі,,,294.8
2013,млн.тонна,Темір жол көлігі,,,293.7
2014,млн.тонна,Темір жол көлігі,,,390.7
2015,млн.тонна,Темір жол көлігі,,,341.4
2016,млн.тонна,Темір жол көлігі,,,338.9
2017,млн.тонна,Темір жол көлігі,,,387.2
2018,млн.тонна,Темір жол көлігі,,,397.9
2010,млн.тонна,Автокөлік,,,1971.8
2011,млн.тонна,Автокөлік,,,2475.5
2012,млн.тонна,Автокөлік,,,2718.4
2013,млн.тонна,Автокөлік,,,2983.4
2014,млн.тонна,Автокөлік,,,3129.1
2015,млн.тонна,Автокөлік,,,3174.0
2016,млн.тонна,Автокөлік,,,3180.7
2017,млн.тонна,Автокөлік,,,3322.3
2018,млн.тонна,Автокөлік,,,3421.4
2010,млн.тонна,Әуе көлігі,,,0.29
2011,млн.тонна,Әуе көлігі,,,0.32
2012,млн.тонна,Әуе көлігі,,,0.22
2013,млн.тонна,Әуе көлігі,,,0.24
2014,млн.тонна,Әуе көлігі,,,0.19
2015,млн.тонна,Әуе көлігі,,,0.17
2016,млн.тонна,Әуе көлігі,,,0.18
2017,млн.тонна,Әуе көлігі,,,0.23
