Year,Units,қылмыстар,Value
2010,адам,ұсталынды,15581.0
2011,адам,ұсталынды,14283.0
2012,адам,ұсталынды,14204.0
2013,адам,ұсталынды,14716.0
2014,адам,ұсталынды,13120.0
2015,адам,ұсталынды,14534.0
2016,адам,ұсталынды,16029.0
2017,адам,ұсталынды,16993.0
2018,адам,ұсталынды,10455.0
2010,адам,избраны меры пресечения виде ареста,14081.0
2011,адам,избраны меры пресечения виде ареста,10887.0
2012,адам,избраны меры пресечения виде ареста,12552.0
2013,адам,избраны меры пресечения виде ареста,13733.0
2014,адам,избраны меры пресечения виде ареста,12238.0
2015,адам,избраны меры пресечения виде ареста,10132.0
2016,адам,избраны меры пресечения виде ареста,11072.0
2017,адам,избраны меры пресечения виде ареста,15689.0
2018,адам,избраны меры пресечения виде ареста,9957.0
