Year,Units,Аймақ,Жынысы,Өңірлер,GeoCode,Value
2016,пайыз,,,,,85.4
2017,пайыз,,,,,86.8
2018,пайыз,,,,,87.9
2016,пайыз,қала,,,,88.5
2017,пайыз,қала,,,,89.7
2018,пайыз,қала,,,,90.2
2016,пайыз,ауыл,,,,81.3
2017,пайыз,ауыл,,,,83.0
2018,пайыз,ауыл,,,,84.8
2016,пайыз,,ерлер,,,86.0
2017,пайыз,,ерлер,,,87.1
2018,пайыз,,ерлер,,,88.8
2016,пайыз,,әйелдер,,,84.8
2017,пайыз,,әйелдер,,,86.5
2018,пайыз,,әйелдер,,,87.1
2016,пайыз,қала,ерлер,,,89.0
2017,пайыз,қала,ерлер,,,89.7
2018,пайыз,қала,ерлер,,,91.1
2016,пайыз,қала,әйелдер,,,88.0
2017,пайыз,қала,әйелдер,,,89.6
2018,пайыз,қала,әйелдер,,,89.5
2016,пайыз,ауыл,ерлер,,,82.3
2017,пайыз,ауыл,ерлер,,,83.9
2018,пайыз,ауыл,ерлер,,,85.8
2016,пайыз,ауыл,әйелдер,,,80.2
2017,пайыз,ауыл,әйелдер,,,82.1
2018,пайыз,ауыл,әйелдер,,,83.7
2016,пайыз,,,Ақмола,KZ03,85.9
2017,пайыз,,,Ақмола,KZ03,84.7
2018,пайыз,,,Ақмола,KZ03,88.9
2016,пайыз,,ерлер,Ақмола,KZ03,87.6
2017,пайыз,,ерлер,Ақмола,KZ03,84.8
2018,пайыз,,ерлер,Ақмола,KZ03,90.2
2016,пайыз,,әйелдер,Ақмола,KZ03,84.4
2017,пайыз,,әйелдер,Ақмола,KZ03,84.6
2018,пайыз,,әйелдер,Ақмола,KZ03,87.6
2016,пайыз,қала,,Ақмола,KZ03,90.2
2017,пайыз,қала,,Ақмола,KZ03,87.8
2018,пайыз,қала,,Ақмола,KZ03,90.6
2016,пайыз,қала,ерлер,Ақмола,KZ03,91.6
2017,пайыз,қала,ерлер,Ақмола,KZ03,88.3
2018,пайыз,қала,ерлер,Ақмола,KZ03,91.9
2016,пайыз,қала,әйелдер,Ақмола,KZ03,89.0
2017,пайыз,қала,әйелдер,Ақмола,KZ03,87.3
2018,пайыз,қала,әйелдер,Ақмола,KZ03,89.5
2016,пайыз,ауыл,,Ақмола,KZ03,82.2
2017,пайыз,ауыл,,Ақмола,KZ03,82.0
2018,пайыз,ауыл,,Ақмола,KZ03,87.3
2016,пайыз,ауыл,ерлер,Ақмола,KZ03,84.4
2017,пайыз,ауыл,ерлер,Ақмола,KZ03,82.0
2018,пайыз,ауыл,ерлер,Ақмола,KZ03,88.8
2016,пайыз,ауыл,әйелдер,Ақмола,KZ03,80.1
2017,пайыз,ауыл,әйелдер,Ақмола,KZ03,82.1
2018,пайыз,ауыл,әйелдер,Ақмола,KZ03,85.8
2016,пайыз,,,Ақтөбе,KZ04,85.0
2017,пайыз,,,Ақтөбе,KZ04,89.5
2018,пайыз,,,Ақтөбе,KZ04,88.1
2016,пайыз,,ерлер,Ақтөбе,KZ04,85.3
2017,пайыз,,ерлер,Ақтөбе,KZ04,89.8
2018,пайыз,,ерлер,Ақтөбе,KZ04,87.7
2016,пайыз,,әйелдер,Ақтөбе,KZ04,84.8
2017,пайыз,,әйелдер,Ақтөбе,KZ04,89.2
2018,пайыз,,әйелдер,Ақтөбе,KZ04,88.5
2016,пайыз,қала,,Ақтөбе,KZ04,90.2
2017,пайыз,қала,,Ақтөбе,KZ04,91.9
2018,пайыз,қала,,Ақтөбе,KZ04,90.4
2016,пайыз,қала,ерлер,Ақтөбе,KZ04,91.2
2017,пайыз,қала,ерлер,Ақтөбе,KZ04,91.8
2018,пайыз,қала,ерлер,Ақтөбе,KZ04,89.3
2016,пайыз,қала,әйелдер,Ақтөбе,KZ04,89.3
2017,пайыз,қала,әйелдер,Ақтөбе,KZ04,92.0
2018,пайыз,қала,әйелдер,Ақтөбе,KZ04,91.4
2016,пайыз,ауыл,,Ақтөбе,KZ04,76.6
2017,пайыз,ауыл,,Ақтөбе,KZ04,85.3
2018,пайыз,ауыл,,Ақтөбе,KZ04,82.8
2016,пайыз,ауыл,ерлер,Ақтөбе,KZ04,76.2
2017,пайыз,ауыл,ерлер,Ақтөбе,KZ04,86.5
2018,пайыз,ауыл,ерлер,Ақтөбе,KZ04,84.2
2016,пайыз,ауыл,әйелдер,Ақтөбе,KZ04,77.0
2017,пайыз,ауыл,әйелдер,Ақтөбе,KZ04,84.1
2018,пайыз,ауыл,әйелдер,Ақтөбе,KZ04,81.4
2016,пайыз,,,Алматы,KZ01,87.9
2017,пайыз,,,Алматы,KZ01,89.3
2018,пайыз,,,Алматы,KZ01,92.0
2016,пайыз,,ерлер,Алматы,KZ01,87.6
2017,пайыз,,ерлер,Алматы,KZ01,89.8
2018,пайыз,,ерлер,Алматы,KZ01,92.9
2016,пайыз,,әйелдер,Алматы,KZ01,88.2
2017,пайыз,,әйелдер,Алматы,KZ01,88.8
2018,пайыз,,әйелдер,Алматы,KZ01,91.0
2016,пайыз,қала,,Алматы,KZ01,88.4
2017,пайыз,қала,,Алматы,KZ01,86.3
2018,пайыз,қала,,Алматы,KZ01,90.1
2016,пайыз,қала,ерлер,Алматы,KZ01,89.0
2017,пайыз,қала,ерлер,Алматы,KZ01,85.2
2018,пайыз,қала,ерлер,Алматы,KZ01,90.7
2016,пайыз,қала,әйелдер,Алматы,KZ01,87.8
2017,пайыз,қала,әйелдер,Алматы,KZ01,87.4
2018,пайыз,қала,әйелдер,Алматы,KZ01,89.7
