Year,Units,Өңірлер,Value
2015,пайыз,,9.1
2016,пайыз,,10.0
2017,пайыз,,15.0
2018,пайыз,,20.1
2017,пайыз,Ақмола,23.0
2018,пайыз,Ақмола,20.3
2017,пайыз,Ақтөбе,13.0
2018,пайыз,Ақтөбе,20.5
2017,пайыз,Алматы,10.9
2018,пайыз,Алматы,10.1
2017,пайыз,Атырау,7.9
2018,пайыз,Атырау,20.2
2017,пайыз,Батыс Қазақстан,18.1
2018,пайыз,Батыс Қазақстан,22.1
2017,пайыз,Жамбыл,21.3
2018,пайыз,Жамбыл,29.9
2017,пайыз,Қарағанды,34.4
2018,пайыз,Қарағанды,31.4
2017,пайыз,Қостанай,26.9
2018,пайыз,Қостанай,20.1
2017,пайыз,Қызылорда,10.1
2018,пайыз,Қызылорда,21.0
2017,пайыз,Маңғыстау,10.0
2018,пайыз,Маңғыстау,20.2
2017,пайыз,Оңтүстік Қазақстан,9.8
2017,пайыз,Павлодар,24.4
2018,пайыз,Павлодар,73.4
2017,пайыз,Солтүстік Қазақстан,26.9
2018,пайыз,Солтүстік Қазақстан,16.0
2018,пайыз,Түркістан,9.0
2017,пайыз,Шығыс Қазақстан,20.6
2018,пайыз,Шығыс Қазақстан,20.5
2017,пайыз,Нұр-Сұлтан қаласы,20.0
2018,пайыз,Нұр-Сұлтан қаласы,10.3
2017,пайыз,Алматы қаласы,12.0
2018,пайыз,Алматы қаласы,41.2
2018,пайыз,Шымкент қаласы,9.1
