Year,Units,Ресми даму бойынша көмек,Value
2010,млн.АҚШ доллар,Қазақстан-алушы,3.2
2011,млн.АҚШ доллар,Қазақстан-алушы,3.7
2012,млн.АҚШ доллар,Қазақстан-алушы,3.1
2013,млн.АҚШ доллар,Қазақстан-алушы,3.6
2014,млн.АҚШ доллар,Қазақстан-алушы,2.5
2015,млн.АҚШ доллар,Қазақстан-алушы,2.9
2016,млн.АҚШ доллар,Қазақстан-алушы,3.6
2017,млн.АҚШ доллар,Қазақстан-алушы,4.7
2016,млн.АҚШ доллар,Қазақстан-донор,1.91
2017,млн.АҚШ доллар,Қазақстан-донор,0.05
