Year,Units,Интернет жылдамдығы,Өңірлер,GeoCode,Value
2018,мың бірлік,выше 10 Мбит/сек,Жамбыл,,14.9
2012,мың бірлік,выше 10 Мбит/сек,Қарағанды,,16.4
2013,мың бірлік,выше 10 Мбит/сек,Қарағанды,,36.345
2014,мың бірлік,выше 10 Мбит/сек,Қарағанды,,55.43
2015,мың бірлік,выше 10 Мбит/сек,Қарағанды,,64.722
2016,мың бірлік,выше 10 Мбит/сек,Қарағанды,,72.999
2017,мың бірлік,выше 10 Мбит/сек,Қарағанды,,75.003
2018,мың бірлік,выше 10 Мбит/сек,Қарағанды,,68.7
2012,мың бірлік,выше 10 Мбит/сек,Қостанай,,10.9
2013,мың бірлік,выше 10 Мбит/сек,Қостанай,,5.642
2014,мың бірлік,выше 10 Мбит/сек,Қостанай,,24.066
2015,мың бірлік,выше 10 Мбит/сек,Қостанай,,37.24800000000001
2016,мың бірлік,выше 10 Мбит/сек,Қостанай,,39.016999999999996
2017,мың бірлік,выше 10 Мбит/сек,Қостанай,,36.609
2018,мың бірлік,выше 10 Мбит/сек,Қостанай,,37.9
2012,мың бірлік,выше 10 Мбит/сек,Қызылорда,,2.4
2013,мың бірлік,выше 10 Мбит/сек,Қызылорда,,5.06
2014,мың бірлік,выше 10 Мбит/сек,Қызылорда,,9.449
2015,мың бірлік,выше 10 Мбит/сек,Қызылорда,,11.171
2016,мың бірлік,выше 10 Мбит/сек,Қызылорда,,11.395999999999999
2017,мың бірлік,выше 10 Мбит/сек,Қызылорда,,11.833
2018,мың бірлік,выше 10 Мбит/сек,Қызылорда,,10.8
2012,мың бірлік,выше 10 Мбит/сек,Маңғыстау,,2.5
2013,мың бірлік,выше 10 Мбит/сек,Маңғыстау,,11.110999999999999
2014,мың бірлік,выше 10 Мбит/сек,Маңғыстау,,20.998
2015,мың бірлік,выше 10 Мбит/сек,Маңғыстау,,23.871
2016,мың бірлік,выше 10 Мбит/сек,Маңғыстау,,27.201999999999998
2017,мың бірлік,выше 10 Мбит/сек,Маңғыстау,,31.1
2018,мың бірлік,выше 10 Мбит/сек,Маңғыстау,,32.4
2012,мың бірлік,выше 10 Мбит/сек,Оңтүстік Қазақстан,,4.8
2013,мың бірлік,выше 10 Мбит/сек,Оңтүстік Қазақстан,,79.669
2014,мың бірлік,выше 10 Мбит/сек,Оңтүстік Қазақстан,,17.625999999999994
2015,мың бірлік,выше 10 Мбит/сек,Оңтүстік Қазақстан,,21.055999999999997
2016,мың бірлік,выше 10 Мбит/сек,Оңтүстік Қазақстан,,21.57800000000001
2017,мың бірлік,выше 10 Мбит/сек,Оңтүстік Қазақстан,,23.596
2012,мың бірлік,выше 10 Мбит/сек,Павлодар,,9.6
2013,мың бірлік,выше 10 Мбит/сек,Павлодар,,17.663
2014,мың бірлік,выше 10 Мбит/сек,Павлодар,,29.305
2015,мың бірлік,выше 10 Мбит/сек,Павлодар,,39.38800000000001
2016,мың бірлік,выше 10 Мбит/сек,Павлодар,,50.118
2017,мың бірлік,выше 10 Мбит/сек,Павлодар,,54.577
2018,мың бірлік,выше 10 Мбит/сек,Павлодар,,10.3
2012,мың бірлік,выше 10 Мбит/сек,Солтүстік Қазақстан,,1.3
2013,мың бірлік,выше 10 Мбит/сек,Солтүстік Қазақстан,,5.3610000000000015
2014,мың бірлік,выше 10 Мбит/сек,Солтүстік Қазақстан,,9.594
2015,мың бірлік,выше 10 Мбит/сек,Солтүстік Қазақстан,,18.792
2016,мың бірлік,выше 10 Мбит/сек,Солтүстік Қазақстан,,23.491
2017,мың бірлік,выше 10 Мбит/сек,Солтүстік Қазақстан,,29.502
2018,мың бірлік,выше 10 Мбит/сек,Солтүстік Қазақстан,,29.7
2018,мың бірлік,выше 10 Мбит/сек,Түркістан,,1.0
2012,мың бірлік,выше 10 Мбит/сек,Шығыс Қазақстан,,8.0
2013,мың бірлік,выше 10 Мбит/сек,Шығыс Қазақстан,,16.962
2014,мың бірлік,выше 10 Мбит/сек,Шығыс Қазақстан,,37.648
2015,мың бірлік,выше 10 Мбит/сек,Шығыс Қазақстан,,52.24
2016,мың бірлік,выше 10 Мбит/сек,Шығыс Қазақстан,,51.558
2017,мың бірлік,выше 10 Мбит/сек,Шығыс Қазақстан,,61.391999999999996
2018,мың бірлік,выше 10 Мбит/сек,Шығыс Қазақстан,,63.4
2012,мың бірлік,выше 10 Мбит/сек,Нұр-Сұлтан қаласы,,11.8
2013,мың бірлік,выше 10 Мбит/сек,Нұр-Сұлтан қаласы,,27.096999999999998
2014,мың бірлік,выше 10 Мбит/сек,Нұр-Сұлтан қаласы,,44.633
2015,мың бірлік,выше 10 Мбит/сек,Нұр-Сұлтан қаласы,,46.19600000000001
2016,мың бірлік,выше 10 Мбит/сек,Нұр-Сұлтан қаласы,,77.60300000000002
2017,мың бірлік,выше 10 Мбит/сек,Нұр-Сұлтан қаласы,,98.694
2018,мың бірлік,выше 10 Мбит/сек,Нұр-Сұлтан қаласы,,107.5
2012,мың бірлік,выше 10 Мбит/сек,Алматы қаласы,,243.6
2013,мың бірлік,выше 10 Мбит/сек,Алматы қаласы,,396.506
2014,мың бірлік,выше 10 Мбит/сек,Алматы қаласы,,509.48699999999997
2015,мың бірлік,выше 10 Мбит/сек,Алматы қаласы,,580.925
2016,мың бірлік,выше 10 Мбит/сек,Алматы қаласы,,728.8860000000003
2017,мың бірлік,выше 10 Мбит/сек,Алматы қаласы,,860.7230000000003
2018,мың бірлік,выше 10 Мбит/сек,Алматы қаласы,,165.4
2018,мың бірлік,выше 10 Мбит/сек,Шымкент қаласы,,23.1
