Year,Units,Ресми даму бойынша көмек,Value
2015,млн.АҚШ доллар,Казахстан-получатель (валовый),4.266
2016,млн.АҚШ доллар,Казахстан-получатель (валовый),6.45
2017,млн.АҚШ доллар,Казахстан-получатель (валовый),11.38
2015,млн.АҚШ доллар,Казахстан-донор (валовый),0.0449
2015,млн.АҚШ доллар,Казахстан-получатель (чистый),4.265
2016,млн.АҚШ доллар,Казахстан-получатель (чистый),6.447
2017,млн.АҚШ доллар,Казахстан-получатель (чистый),10.776
2015,млн.АҚШ доллар,Казахстан-донор (чистый),0.0449
