Year,Units,Өңірлер,Value
2010,тыс.га,,5640.9
2010,тыс.га,Ақмола,86.6
2010,тыс.га,Алматы,1701.6
2010,тыс.га,Жамбыл,182.6
2010,тыс.га,Қарағанды,175.7
2010,тыс.га,Павлодар,68.5
2010,тыс.га,Солтүстік Қазақстан,11.1
2010,тыс.га,Түркістан,379.6
2010,тыс.га,Шығыс Қазақстан,3035.2
2011,тыс.га,,5646.8
2011,тыс.га,Ақмола,86.6
2011,тыс.га,Алматы,1707.4
2011,тыс.га,Жамбыл,182.6
2011,тыс.га,Қарағанды,175.7
2011,тыс.га,Павлодар,68.5
2011,тыс.га,Солтүстік Қазақстан,11.1
2011,тыс.га,Түркістан,379.6
2011,тыс.га,Шығыс Қазақстан,3034.9
2012,тыс.га,,5663.6
2012,тыс.га,Ақмола,74.5
2012,тыс.га,Алматы,1707.5
2012,тыс.га,Жамбыл,182.6
2012,тыс.га,Қарағанды,153.8
2012,тыс.га,Павлодар,68.5
2012,тыс.га,Солтүстік Қазақстан,11.1
2012,тыс.га,Түркістан,431.8
2012,тыс.га,Шығыс Қазақстан,3033.7
2013,тыс.га,,5669.2
2013,тыс.га,Ақмола,74.5
2013,тыс.га,Алматы,1707.5
2013,тыс.га,Жамбыл,182.6
2013,тыс.га,Қарағанды,153.8
2013,тыс.га,Павлодар,68.5
2013,тыс.га,Солтүстік Қазақстан,11.1
2013,тыс.га,Түркістан,431.8
2013,тыс.га,Шығыс Қазақстан,3039.4
2014,тыс.га,,5674.5
2014,тыс.га,Ақмола,74.5
2014,тыс.га,Алматы,1706.5
2014,тыс.га,Жамбыл,182.6
2014,тыс.га,Қарағанды,153.8
2014,тыс.га,Павлодар,68.5
2014,тыс.га,Солтүстік Қазақстан,11.1
2014,тыс.га,Түркістан,431.8
2014,тыс.га,Шығыс Қазақстан,3045.6
2015,тыс.га,,5675.0
2015,тыс.га,Ақмола,74.5
2015,тыс.га,Алматы,1707.1
2015,тыс.га,Жамбыл,182.6
2015,тыс.га,Қарағанды,153.8
2015,тыс.га,Павлодар,68.5
2015,тыс.га,Солтүстік Қазақстан,11.1
2015,тыс.га,Түркістан,431.8
2015,тыс.га,Шығыс Қазақстан,3045.6
2016,тыс.га,,5675.2
2016,тыс.га,Ақмола,74.5
2016,тыс.га,Алматы,1707.3
2016,тыс.га,Жамбыл,182.6
2016,тыс.га,Қарағанды,153.8
2016,тыс.га,Павлодар,68.5
2016,тыс.га,Солтүстік Қазақстан,11.1
2016,тыс.га,Түркістан,431.8
2016,тыс.га,Шығыс Қазақстан,3045.6
2017,тыс.га,,5699.2
2017,тыс.га,Ақмола,99.8
2017,тыс.га,Алматы,1707.3
2017,тыс.га,Жамбыл,215.8
2017,тыс.га,Қарағанды,179.2
2017,тыс.га,Павлодар,68.5
2017,тыс.га,Солтүстік Қазақстан,11.1
2017,тыс.га,Түркістан,431.8
2017,тыс.га,Шығыс Қазақстан,2985.8
2018,тыс.га,,5841.6
2018,тыс.га,Ақмола,99.8
2018,тыс.га,Алматы,1706.1
2018,тыс.га,Жамбыл,215.8
2018,тыс.га,Қарағанды,179.2
2018,тыс.га,Павлодар,68.5
2018,тыс.га,Солтүстік Қазақстан,11.1
2018,тыс.га,Түркістан,431.8
2018,тыс.га,Шығыс Қазақстан,3129.3
2019,тыс.га,,5999.6
2019,тыс.га,Ақмола,99.8
2019,тыс.га,Алматы,1705.9
2019,тыс.га,Жамбыл,324.9
2019,тыс.га,Қарағанды,179.2
2019,тыс.га,Павлодар,68.5
2019,тыс.га,Солтүстік Қазақстан,11.1
2019,тыс.га,Түркістан,431.8
2019,тыс.га,Шығыс Қазақстан,3178.4
