Year,Units,Ресми даму бойынша көмек,Value
2010,млн.АҚШ доллар,Қазақстан-алушы,52.8
2011,млн.АҚШ доллар,Қазақстан-алушы,13.8
2012,млн.АҚШ доллар,Қазақстан-алушы,3.4
2013,млн.АҚШ доллар,Қазақстан-алушы,32.2
2014,млн.АҚШ доллар,Қазақстан-алушы,6.1
2015,млн.АҚШ доллар,Қазақстан-алушы,64.9
2016,млн.АҚШ доллар,Қазақстан-алушы,4.0
2017,млн.АҚШ доллар,Қазақстан-алушы,43.0
2016,млн.АҚШ доллар,Қазақстан-донор,0.003
2017,млн.АҚШ доллар,Қазақстан-донор,0.003
